"","1: upregulation, -1: downregulation","Symbol","Microgravity-Terrestrial","Col0_GC_Alight_Rep1","Col0_GC_Alight_Rep2","Col0_GC_Alight_Rep3","Col0_GC_dark_Rep1","Col0_GC_dark_Rep2","Col0_GC_dark_Rep3","Ws_GC_Alight_Rep1","Ws_GC_Alight_Rep2","Ws_GC_Alight_Rep3","Ws_GC_dark_Rep1","Ws_GC_dark_Rep2","Ws_GC_dark_Rep3","Col0PhyD_GC_Alight_Rep1","Col0PhyD_GC_Alight_Rep2","Col0PhyD_GC_Alight_Rep3","Col0PhyD_GC_dark_Rep1","Col0PhyD_GC_dark_Rep2","Col0PhyD_GC_dark_Rep3","Col0_FLT_Alight_Rep1","Col0_FLT_Alight_Rep2","Col0_FLT_Alight_Rep3","Col0_FLT_dark_Rep1","Col0_FLT_dark_Rep2","Col0_FLT_dark_Rep3","Ws_FLT_Alight_Rep1","Ws_FLT_Alight_Rep2","Ws_FLT_Alight_Rep3","Ws_FLT_dark_Rep1","Ws_FLT_dark_Rep2","Ws_FLT_dark_Rep3","Col0PhyD_FLT_Alight_Rep1","Col0PhyD_FLT_Alight_Rep2","Col0PhyD_FLT_Alight_Rep3","Col0PhyD_FLT_dark_Rep1","Col0PhyD_FLT_dark_Rep2","Col0PhyD_FLT_dark_Rep3"
"1","AT1G02450",NA,1,2.98244234864469,3.30691801797066,2.98791398048471,3.30261768275283,2,3.44299219914233,2.5733664810013,3.88890261647563,3.56459506412102,2.57374169311965,3.67538302066586,3.79100043867452,2.31692449792987,2.79799534795435,3.57188481093496,3.78910092035371,3.56442540016955,2.7917928844058,3.66972286177469,4.05855901781386,4.77613702477529,4.76818215923689,4.29911628958721,5.709546290442,6.17683908238745,5.24297508589527,5.43738126540072,5.05466036380611,3.30855046741178,4.50242351180292,5.70177007726561,5.64850512834861,4.49918515203392,4.36898061795148,4.51207016068351,7.4369130602549
"2","AT1G11700",NA,-1,2.79231862684161,5.36962295140065,5.93150062532152,4.14484299313901,4.44076306045405,4.56339649024919,4.61445375661778,4.7863077585826,2.98475144279221,3.97462933221034,4.21931900110919,3.8900974446776,4.73345437650123,4.30440748131853,5.59666366716381,4.56364358377926,4.97298463502277,5.05523830935024,2.78841697022203,3.43541940440479,2.79183041070833,2.78790149132005,3.97862454875822,2.57836474614488,2.98285292023806,5.08257907556337,3.68367820863587,3.56024754712417,3.57009078399377,4.06790575149612,3.97882260436684,3.68250735825574,2.57517576059662,3.56577148159241,4.23694699305412,3.1571668956597
"3","AT1G16440",NA,1,2,3.98121287507283,2.79700168806982,2.3155199667725,2,2,2.31498167372888,2,2,2,2,2,2.79661159819368,2.79799534795435,2.99020286314461,3.78910092035371,2.31579760311848,2,2.97788141219045,4.96687915805151,3.56074052532139,4.35534905431513,2.79517918582282,4.62717170268727,4.43126568512196,4.08323120031589,2.98791403288416,3.78085830700469,2.98886060918779,4.43849693094301,3.15426796173021,3.68250735825574,3.56532217693818,4.83311630174802,2,2
"4","AT1G19960",NA,1,8.31825267062464,9.67892076330677,9.11289087918595,7.61937304722635,7.67108181432055,8.32313083713005,7.93703772066069,9.77965688875205,8.61710749458178,6.49112610139156,6.39164092472898,7.96041070919453,7.85175612286089,10.2507670358777,9.43988283081186,9.02714199507178,7.43739525844435,6.75917411804045,8.4276037214165,8.84810614364505,10.1936563108144,9.42002346944025,7.44781017804331,10.7770113350291,9.37933228766092,11.2214872645466,10.3734731778209,7.84604915181124,9.55895281680697,10.0009942198283,10.7283162387265,10.674528312109,10.129152534183,8.73293697730052,9.60269730080104,10.2944389872526
"5","AT1G21320",NA,1,2.98244234864469,2,2,2.98392599256067,2,3.44299219914233,2.31498167372888,2.79686972153975,2,2.31520608834356,2.57295247597719,2,2.57661350547753,3.68529007902925,2.57843847404845,3.44318022328115,4.49807019012114,3.67521693149994,3.43122136653309,3.97165751551813,2.98187175054737,2.97727867459098,4.78289981627994,3.57173667994387,2.57355378855726,3.99584985393733,4.37269860828614,3.97216569344083,4.4411584790052,3.30660576041587,3.97882260436684,3.1555525462051,3.44068986135669,4.14751051243491,4.44805022751888,2.79752291750178
"6","AT1G22770",NA,1,6.05423368183566,6.3684185588162,6.29887740703411,5.87673943019549,6.14835385449554,5.43588898147123,6.93184839814438,4.97851107224958,6.10039267361057,5.64118768151543,5.77364655025218,6.83582988800842,5.56188548363244,7.02312949921786,5.91237358221527,7.26965842097182,6.3104760537499,5.42621926027683,7.73103223746547,7.77654893231087,7.89485579709242,7.72983064856736,6.65904916277874,7.34692303948399,6.49057884117719,7.03902600971326,7.15631018718754,6.73233475707032,6.66501012952175,7.1349660540299,8.03820960310664,7.78827265656084,7.87782661637204,6.74037142327633,6.85692010968415,6.79795463185501
"7","AT1G43650",NA,-1,5.21635602597978,6.24299720852438,6.66317673027462,6.80170759321658,6.74617915188203,7.05167210486415,6.69418802325031,7.72406902092662,7.49357544640631,6.98949604543566,7.45633630468273,7.1968408380262,5.99873759376212,6.48683160475244,6.17124759525421,7.38437826763098,6.68451916901075,7.38214273575663,5.04819822906388,6.15401302502682,4.7238643948321,5.316279248446,6.23971322942579,5.65411037365582,5.55336884308226,7.13417251510245,6.31678431733911,6.09420366485378,7.0117456119859,7.24182961982723,5.26002493307032,2.57635622072656,5.06141061868948,6.12250668315591,4.79542931386921,5.97840478870044
"8","AT1G49720",NA,1,7.28749039779607,6.8212663525109,7.28922451623559,6.25474873898953,7.24453451347335,6.35038106732808,6.23355810412399,6.69060473724649,7.77724816804758,6.09731570372263,6.73319975114327,6.33573141241354,7.21388446898599,7.37090934388963,7.44022019421427,7.06260215723844,6.67072480687934,6.34024752617256,8.43166050543632,8.65245492916356,8.71204936078045,8.66199820567596,7.03837875253998,7.99723299842782,8.17542471541666,8.40815680756311,8.25216619530334,6.45629542509271,6.56353588901983,7.20387967105216,8.43962233971181,9.01314387978378,8.70542836035506,6.61613956869762,7.38728769892746,7.11716380120618
"9","AT1G54970",NA,1,2,2.31694206777384,3.15648981951779,2,2,2,2,2,2,2.57374169311965,2,3.44487029667066,2,2,2,2,2,2.57287322942405,2.78841697022203,5.57992749986471,4.29281253855925,6.85057509707049,2.57550137785331,5.0269345283227,4.43126568512196,2,4.50353893524396,4.21861326126874,6.10820496522566,6.46737347076734,3.30501112053648,5.67648002833909,2.79475973293804,3.56577148159241,2,2
"10","AT1G62710",NA,-1,2.31493065467361,4.30187975331126,3.98183278895831,4.67313170248625,4.44076306045405,4.83566554846432,4.82779794772349,3.68346400402551,3.67928314708287,3.97462933221034,4.7762676487592,3.56970410301707,4.50278178281919,4.73622391709176,3.89249859308902,4.43850314362242,4.29724825766659,5.21524554600601,2.57025451831215,3.43541940440479,2.57290234646015,2.56985478010725,3.15412181679434,3.89233549964142,3.30132700672898,3.99584985393733,3.30741273686443,3.87968069944101,3.98325849316462,2.31683871010196,3.44148296961971,2.79628024555845,2.79475973293804,4.29886804672322,2,2.79752291750178
