Analysis.Id,Col0_GC_Alight_Rep1,Col0_GC_Alight_Rep2,Col0_GC_Alight_Rep3,Col0_GC_dark_Rep1,Col0_GC_dark_Rep2,Col0_GC_dark_Rep3,Ws_GC_Alight_Rep1,Ws_GC_Alight_Rep2,Ws_GC_Alight_Rep3,Ws_GC_dark_Rep1,Ws_GC_dark_Rep2,Ws_GC_dark_Rep3,Col0PhyD_GC_Alight_Rep1,Col0PhyD_GC_Alight_Rep2,Col0PhyD_GC_Alight_Rep3,Col0PhyD_GC_dark_Rep1,Col0PhyD_GC_dark_Rep2,Col0PhyD_GC_dark_Rep3,Col0_FLT_Alight_Rep1,Col0_FLT_Alight_Rep2,Col0_FLT_Alight_Rep3,Col0_FLT_dark_Rep1,Col0_FLT_dark_Rep2,Col0_FLT_dark_Rep3,Ws_FLT_Alight_Rep1,Ws_FLT_Alight_Rep2,Ws_FLT_Alight_Rep3,Ws_FLT_dark_Rep1,Ws_FLT_dark_Rep2,Ws_FLT_dark_Rep3,Col0PhyD_FLT_Alight_Rep1,Col0PhyD_FLT_Alight_Rep2,Col0PhyD_FLT_Alight_Rep3,Col0PhyD_FLT_dark_Rep1,Col0PhyD_FLT_dark_Rep2,Col0PhyD_FLT_dark_Rep3
Sample.LongId,Atha.Col.0.root.GC.Alight.Rep1.GSM2493759.RNAseq.RNAseq,Atha.Col.0.root.GC.Alight.Rep2.GSM2493760.RNAseq.RNAseq,Atha.Col.0.root.GC.Alight.Rep3.GSM2493761.RNAseq.RNAseq,Atha.Col.0.root.GC.dark.Rep1.GSM2493768.RNAseq.RNAseq,Atha.Col.0.root.GC.dark.Rep2.GSM2493769.RNAseq.RNAseq,Atha.Col.0.root.GC.dark.Rep3.GSM2493770.RNAseq.RNAseq,Atha.Ws.root.GC.Alight.Rep1.GSM2493762.RNAseq.RNAseq,Atha.Ws.root.GC.Alight.Rep2.GSM2493763.RNAseq.RNAseq,Atha.Ws.root.GC.Alight.Rep3.GSM2493764.RNAseq.RNAseq,Atha.Ws.root.GC.dark.Rep1.GSM2493771.RNAseq.RNAseq,Atha.Ws.root.GC.dark.Rep2.GSM2493772.RNAseq.RNAseq,Atha.Ws.root.GC.dark.Rep3.GSM2493773.RNAseq.RNAseq,Atha.Col.0.PhyD.root.GC.Alight.Rep1.GSM2493765.RNAseq.RNAseq,Atha.Col.0.PhyD.root.GC.Alight.Rep2.GSM2493766.RNAseq.RNAseq,Atha.Col.0.PhyD.root.GC.Alight.Rep3.GSM2493767.RNAseq.RNAseq,Atha.Col.0.PhyD.root.GC.dark.Rep1.GSM2493774.RNAseq.RNAseq,Atha.Col.0.PhyD.root.GC.dark.Rep2.GSM2493775.RNAseq.RNAseq,Atha.Col.0.PhyD.root.GC.dark.Rep3.GSM2493776.RNAseq.RNAseq,Atha.Col.0.root.FLT.Alight.Rep1.GSM2493777.RNAseq.RNAseq,Atha.Col.0.root.FLT.Alight.Rep2.GSM2493778.RNAseq.RNAseq,Atha.Col.0.root.FLT.Alight.Rep3.GSM2493779.RNAseq.RNAseq,Atha.Col.0.root.FLT.dark.Rep1.GSM2493786.RNAseq.RNAseq,Atha.Col.0.root.FLT.dark.Rep2.GSM2493787.RNAseq.RNAseq,Atha.Col.0.root.FLT.dark.Rep3.GSM2493788.RNAseq.RNAseq,Atha.Ws.root.FLT.Alight.Rep1.GSM2493780.RNAseq.RNAseq,Atha.Ws.root.FLT.Alight.Rep2.GSM2493781.RNAseq.RNAseq,Atha.Ws.root.FLT.Alight.Rep3.GSM2493782.RNAseq.RNAseq,Atha.Ws.root.FLT.dark.Rep1.GSM2493789.RNAseq.RNAseq,Atha.Ws.root.FLT.dark.Rep2.GSM2493790.RNAseq.RNAseq,Atha.Ws.root.FLT.dark.Rep3.GSM2493791.RNAseq.RNAseq,Atha.Col.0.PhyD.root.FLT.Alight.Rep1.GSM2493783.RNAseq.RNAseq,Atha.Col.0.PhyD.root.FLT.Alight.Rep2.GSM2493784.RNAseq.RNAseq,Atha.Col.0.PhyD.root.FLT.Alight.Rep3.GSM2493785.RNAseq.RNAseq,Atha.Col.0.PhyD.root.FLT.dark.Rep1.GSM2493792.RNAseq.RNAseq,Atha.Col.0.PhyD.root.FLT.dark.Rep2.GSM2493793.RNAseq.RNAseq,Atha.Col.0.PhyD.root.FLT.dark.Rep3.GSM2493794.RNAseq.RNAseq
Sample.Id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample.Name,Atha_Col-0_root_GC_Alight_Rep1_GSM2493759,Atha_Col-0_root_GC_Alight_Rep2_GSM2493760,Atha_Col-0_root_GC_Alight_Rep3_GSM2493761,Atha_Col-0_root_GC_dark_Rep1_GSM2493768,Atha_Col-0_root_GC_dark_Rep2_GSM2493769,Atha_Col-0_root_GC_dark_Rep3_GSM2493770,Atha_Ws_root_GC_Alight_Rep1_GSM2493762,Atha_Ws_root_GC_Alight_Rep2_GSM2493763,Atha_Ws_root_GC_Alight_Rep3_GSM2493764,Atha_Ws_root_GC_dark_Rep1_GSM2493771,Atha_Ws_root_GC_dark_Rep2_GSM2493772,Atha_Ws_root_GC_dark_Rep3_GSM2493773,Atha_Col-0-PhyD_root_GC_Alight_Rep1_GSM2493765,Atha_Col-0-PhyD_root_GC_Alight_Rep2_GSM2493766,Atha_Col-0-PhyD_root_GC_Alight_Rep3_GSM2493767,Atha_Col-0-PhyD_root_GC_dark_Rep1_GSM2493774,Atha_Col-0-PhyD_root_GC_dark_Rep2_GSM2493775,Atha_Col-0-PhyD_root_GC_dark_Rep3_GSM2493776,Atha_Col-0_root_FLT_Alight_Rep1_GSM2493777,Atha_Col-0_root_FLT_Alight_Rep2_GSM2493778,Atha_Col-0_root_FLT_Alight_Rep3_GSM2493779,Atha_Col-0_root_FLT_dark_Rep1_GSM2493786,Atha_Col-0_root_FLT_dark_Rep2_GSM2493787,Atha_Col-0_root_FLT_dark_Rep3_GSM2493788,Atha_Ws_root_FLT_Alight_Rep1_GSM2493780,Atha_Ws_root_FLT_Alight_Rep2_GSM2493781,Atha_Ws_root_FLT_Alight_Rep3_GSM2493782,Atha_Ws_root_FLT_dark_Rep1_GSM2493789,Atha_Ws_root_FLT_dark_Rep2_GSM2493790,Atha_Ws_root_FLT_dark_Rep3_GSM2493791,Atha_Col-0-PhyD_root_FLT_Alight_Rep1_GSM2493783,Atha_Col-0-PhyD_root_FLT_Alight_Rep2_GSM2493784,Atha_Col-0-PhyD_root_FLT_Alight_Rep3_GSM2493785,Atha_Col-0-PhyD_root_FLT_dark_Rep1_GSM2493792,Atha_Col-0-PhyD_root_FLT_dark_Rep2_GSM2493793,Atha_Col-0-PhyD_root_FLT_dark_Rep3_GSM2493794
GLDS,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
Accession,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120,GLDS-120
Hardware,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish
Tissue,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots,Roots
Age,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days
Organism,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana
Ecotype,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0
Genotype,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,PhyD,PhyD,PhyD,PhyD,PhyD,PhyD,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,PhyD,PhyD,PhyD,PhyD,PhyD,PhyD
Variety,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,WS-0 WT,WS-0 WT,WS-0 WT,WS-0 WT,WS-0 WT,WS-0 WT,Col-0 PhyD,Col-0 PhyD,Col-0 PhyD,Col-0 PhyD,Col-0 PhyD,Col-0 PhyD,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,WS-0 WT,WS-0 WT,WS-0 WT,WS-0 WT,WS-0 WT,WS-0 WT,Col-0 PhyD,Col-0 PhyD,Col-0 PhyD,Col-0 PhyD,Col-0 PhyD,Col-0 PhyD
Radiation,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation
Gravity,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity
Developmental,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots,11 day old seedling roots
Time.series.or.Concentration.gradient,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point
Light,4-6 umoles m-2 s-1 total light,4-6 umoles m-2 s-1 total light,4-6 umoles m-2 s-1 total light,"Light-activated for 4 hours, then dark-grown","Light-activated for 4 hours, then dark-grown","Light-activated for 4 hours, then dark-grown",4-6 umoles m-2 s-1 total light,4-6 umoles m-2 s-1 total light,4-6 umoles m-2 s-1 total light,"Light-activated for 4 hours, then dark-grown","Light-activated for 4 hours, then dark-grown","Light-activated for 4 hours, then dark-grown",4-6 umoles m-2 s-1 total light,4-6 umoles m-2 s-1 total light,4-6 umoles m-2 s-1 total light,"Light-activated for 4 hours, then dark-grown","Light-activated for 4 hours, then dark-grown","Light-activated for 4 hours, then dark-grown",4-6 umoles m-2 s-1 total light,4-6 umoles m-2 s-1 total light,4-6 umoles m-2 s-1 total light,"Light-activated for 4 hours, then dark-grown","Light-activated for 4 hours, then dark-grown","Light-activated for 4 hours, then dark-grown",4-6 umoles m-2 s-1 total light,4-6 umoles m-2 s-1 total light,4-6 umoles m-2 s-1 total light,"Light-activated for 4 hours, then dark-grown","Light-activated for 4 hours, then dark-grown","Light-activated for 4 hours, then dark-grown",4-6 umoles m-2 s-1 total light,4-6 umoles m-2 s-1 total light,4-6 umoles m-2 s-1 total light,"Light-activated for 4 hours, then dark-grown","Light-activated for 4 hours, then dark-grown","Light-activated for 4 hours, then dark-grown"
