Sample.Name,Atha_Ler.0_sShoots_FLT_Rep1,Atha_Ler.0_sShoots_FLT_Rep2,Atha_Ler.0_sShoots_FLT_Rep3,Atha_Ler.0_sShoots_GC_Rep1,Atha_Ler.0_sShoots_GC_Rep2,Atha_Ler.0_sShoots_GC_Rep3
AT1G01010,4.616020583,4.533133091,4.662623025,5.759522003,5.638435568,4.741367459
AT1G01040,6.994641679,6.732584816,6.885434078,5.796964669,6.478171026,7.194986337
AT1G01050,5.939485698,6.581721786,5.96599813,5.921966292,5.2353855,4.924974761
AT1G01070,1.4096278,1.52960949,1.685263987,1.714404371,1.332009431,2.189903066
AT1G01080,1.413912835,1.338084787,1.850825154,1.513291833,1.443020722,1.334293087
AT1G01090,7.741093728,7.661795981,7.782068726,7.210753442,6.912460042,6.61438488
AT1G01100,8.522924453,8.723980978,8.802276541,8.348366623,7.895279236,8.038506018
AT1G01110,2.33888209,2.774116992,2.661104961,1.739029237,2.130391359,1.765949928
AT1G01120,3.736314419,3.690098864,3.029434548,4.192863121,3.836997128,2.893316323
AT1G01140,5.425966153,5.154631995,5.503781901,5.806559914,4.842621265,5.119739802
AT1G01160,6.888858078,6.661018997,7.111740501,7.34415556,7.746150211,7.667541032
AT1G01170,6.506573935,6.977104441,7.121559219,7.233323893,7.939104001,7.664168597
AT1G01200,1.229651611,1.468594724,1.479272057,2.010368121,1.451893203,1.521157078
AT1G01210,8.89470208,8.510356624,8.50647232,9.248366696,9.079540117,8.940844842
AT1G01220,2.360278814,2.006942617,1.978612461,2.27438378,1.824206606,2.494462633
AT1G01225,1.079041474,1.194758938,1.299224096,1.371571123,1.232915189,1.098059348
AT1G01230,4.876588582,5.261899003,4.613454547,4.857873695,4.690979935,4.899812228
AT1G01240,5.063694422,4.757899084,4.922934964,5.545468894,5.866467255,6.486370869
AT1G01260,3.955759173,2.216267426,2.537646076,2.733248115,3.523069809,3.408979333
AT1G01290,3.40706156,3.093438393,3.382175064,3.423133107,3.318135234,3.531939902
AT1G01300,4.134251943,4.418336727,4.035669786,3.811421201,3.139266209,2.254816141
AT1G01310,1.894958186,1.674719612,1.916626075,1.678763246,2.126938081,1.620562494
AT1G01320,5.589768848,5.17030914,5.775434753,5.526170512,5.271089681,5.462544328
AT1G01340,1.570960078,1.948421192,1.773648042,1.338421745,1.29768387,2.225626782
AT1G01360,6.134292341,5.576608808,6.07955759,7.179841324,6.700347235,7.073275558
AT1G01370,2.198680198,2.279246597,1.85668868,1.876629063,1.682075462,1.618207073
AT1G01380,1.554177114,1.487900104,1.389401199,1.513291833,1.309258758,1.760235349
AT1G01430,3.345885633,4.058745926,2.960642662,3.485904032,3.001427598,2.646432631
AT1G01440,2.908076189,2.94177871,2.404964569,3.075527606,2.886173346,3.667549059
AT1G01450,2.994422659,3.014000943,2.994378431,3.406243636,3.788049395,3.374765056
AT1G01470,4.313060354,4.291920675,4.435651836,8.100542225,7.206664074,7.572857044
AT1G01480,1.638794751,1.272565142,1.487294427,1.933910304,3.13803513,4.361545864
AT1G01490,9.252766551,8.996267593,9.02544292,9.172692114,8.801238288,8.618069394
AT1G01500,7.036027379,6.267478095,6.757496209,7.914850626,7.898770128,7.547594991
AT1G01510,4.443530772,4.592448316,4.487346986,3.52384728,3.35170802,4.162056251
AT1G01540,6.005049392,6.086420741,6.064015681,4.593398411,5.251963806,5.472170618
AT1G01550,7.114927753,6.967850767,7.113017079,7.349977672,6.82156556,7.184729291
AT1G01570,1.357475446,1.505423821,1.479189794,1.749823778,1.704128271,1.60943377
AT1G01610,3.137514613,3.467585602,3.329690423,2.042884805,1.663087559,1.663087559
AT1G01620,9.817893653,9.713109523,9.935129579,9.263793579,8.472633228,8.78535159
AT1G01630,5.316837215,5.685533801,5.220821109,4.398857112,4.501274275,3.896230198
AT1G01640,6.264699968,6.176433203,5.826167056,6.252386786,5.066822396,5.05807169
AT1G01650,2.852512531,2.98358143,3.24310763,3.353969583,3.897401862,3.456359033
AT1G01660,1.362507079,1.005922131,0.750437898,0.974762469,1.575810537,1.096447924
AT1G01670,2.298479095,1.534498243,1.209124749,1.339250296,1.216042372,1.263971038
AT1G01700,1.58337371,1.463377142,1.379777128,1.398488251,1.100284052,1.560002868
AT1G01710,3.023290754,2.516650287,2.434715304,3.176625676,3.313114137,2.7294982
AT1G01720,7.022444557,6.747470917,7.410838617,9.3474141,8.836012722,9.732905696
AT1G01725,5.869754685,5.59837153,6.270498139,7.08497083,7.275335059,7.446962025
AT1G01730,4.047968177,4.09515467,4.187447569,4.464597299,4.890873751,4.437611147
AT1G01740,2.776871664,2.107072576,2.629761683,3.080905724,2.772894629,2.866026596
AT1G01750,1.691167395,2.083381779,2.361352071,1.478071778,1.518736609,2.107862428
AT1G01760,1.564592011,1.732928209,1.669090082,1.83742628,1.7440171,1.463444814
AT1G01770,5.216584963,4.939972,5.156356308,5.836010085,5.230133814,5.708040097
AT1G01780,3.88545693,4.396227414,4.672785134,5.324255545,4.920889251,5.083996868
AT1G01790,2.294531638,1.869898706,1.664045136,1.678763246,1.384267803,1.710622532
AT1G01800,6.306258851,5.993749338,6.394979111,6.322719814,6.044083996,6.049537525
AT1G01820,6.868777128,6.567754166,6.841643603,7.243875899,7.111155051,7.358877241
AT1G01830,3.161341137,2.966812696,2.949900338,3.407837572,3.909904297,3.552486518
AT1G01840,2.779324582,3.352494213,3.545497414,3.744989865,4.181089492,3.936284151
AT1G01860,1.433198548,1.738256342,1.426224344,1.614404325,1.448917858,2.29899099
AT1G01900,2.926480332,1.729134569,2.271002334,2.189903066,1.859180244,1.265437411
AT1G01910,4.157811728,4.05078022,4.50756267,3.632952224,3.803007279,4.037598705
AT1G01920,3.28146622,3.362933862,3.387589253,3.277423483,3.368524892,3.569610885
AT1G01930,5.676262857,5.949441614,5.220265878,5.583512682,4.861020272,6.168452221
AT1G01940,6.889715744,6.784909492,6.505454003,6.60289353,6.546948456,7.069342143
AT1G01950,3.75332599,3.759137755,3.679394183,3.779375757,4.10267543,4.094925161
AT1G01960,6.012134352,5.91502317,5.394670509,5.422752233,4.903456403,5.350837992
AT1G01970,3.136247508,3.879336725,4.189505172,4.044654989,3.187558563,3.756685976
AT1G01990,4.053388291,4.073868362,3.965161549,3.968546694,3.401505629,3.943377109
AT1G02000,2.363620856,2.581407614,2.265764028,2.297821237,2.341008029,2.069913859
AT1G02020,1.524493593,1.906897389,1.912126326,2.641914947,2.130849053,2.433852092
AT1G02050,3.39309722,3.026421247,3.013351411,2.555949677,2.745664893,3.675628008
AT1G02060,1.803383041,2.699053266,2.186546949,1.488618676,2.377014131,2.428767616
AT1G02080,6.298186882,6.275820854,6.128888556,5.862927129,6.717500529,6.469900322
AT1G02090,2.691908458,3.086327247,3.2345533,2.072768319,3.208814837,3.302418025
AT1G02100,6.524444936,6.420607965,6.626246508,7.13508144,6.993375033,6.28092936
AT1G02110,4.336106562,4.213224581,4.339061448,3.496026947,3.61166421,3.161244884
AT1G02120,7.050782614,6.76792088,6.709616763,6.285004473,6.728157346,6.922275577
AT1G02130,5.671045005,5.59566573,5.494612472,5.363489918,6.06302123,5.920908131
AT1G02140,7.374373621,7.765797792,7.59778787,7.872239546,7.153096944,7.602699401
AT1G02150,3.814707656,3.683801051,3.89730129,3.766392593,4.068072711,5.172930172
AT1G02160,7.181488026,6.477751733,6.714292838,6.290016817,5.72362038,6.644063305
AT1G02170,4.242827879,3.902427339,4.068136707,3.941014643,3.11256103,3.910995072
AT1G02180,2.565049238,1.959618216,2.119632882,1.628518451,1.965954492,2.106013897
AT1G02205,5.338114975,5.227254689,5.050824772,6.044768765,5.400314213,5.453711494
AT1G02220,2.308404841,1.66879478,2.053309967,1.474021428,1.483471074,2.752009524
AT1G02260,1.925722738,1.71072585,1.824784951,2.088531109,1.858912457,2.372421444
AT1G02270,1.785583131,2.417152253,1.809838454,1.724716317,1.900513356,2.358317006
AT1G02280,4.688702501,5.187254888,5.075189849,5.41952203,5.347783144,5.518999288
AT1G02305,7.224936169,7.095680255,7.41364892,7.531000103,7.373974449,7.124275803
AT1G02310,1.598920926,2.01516467,1.598464386,1.741131841,1.827622312,1.938396096
AT1G02330,5.495664141,5.088775756,5.056982041,4.673829517,4.352687706,5.360001821
AT1G02340,7.340327681,7.786754364,7.924560025,7.511181614,6.682919768,7.112166476
AT1G02360,2.617539177,3.153885611,2.696517826,2.340539223,2.577637947,2.594123265
AT1G02370,4.080169756,3.202610771,3.548457281,3.595569486,4.331977395,4.876224354
AT1G02390,1.049129269,1.113442237,1.545844018,1.4031795,1.259943469,1.403761665
AT1G02400,2.00388497,1.631004026,2.019323737,2.521541754,2.301906064,2.874976554
AT1G02410,2.439178825,3.56940225,3.326544373,3.503694698,2.866393639,3.291595638
AT1G02420,1.79993405,2.041010148,2.374483166,2.298903037,2.549860252,2.327732853
AT1G02450,1.730323197,1.806763861,1.360816729,1.515397226,1.859698516,1.82084899
AT1G02460,1.465972002,1.425932311,1.596832882,1.554518504,1.749599824,1.943497904
AT1G02475,2.662153978,2.593285421,2.338330399,2.521169244,2.310642166,2.383927562
AT1G02500,10.46863071,10.59893165,10.24220497,9.660902388,9.279040551,9.269902874
AT1G02520,1.35302575,1.288828866,1.075889096,1.314958158,2.350235818,2.095228924
AT1G02560,5.049076275,5.460559473,5.10396331,5.152586002,4.645050065,4.684720677
AT1G02575,1.631324405,1.560859685,1.607690913,1.74361495,1.595581935,1.356457001
AT1G02640,2.164336357,2.510184669,3.873005079,1.979418482,1.84655811,1.148286815
AT1G02660,1.415662978,1.34252822,2.139737783,3.476410757,2.302273782,3.575722385
AT1G02670,1.675843128,1.474707732,1.317100459,1.535264879,1.640580628,1.393852992
AT1G02680,4.193008752,4.201603859,4.504840182,4.186438748,4.102490021,5.057771001
AT1G02690,2.689534162,2.364743427,2.238493702,1.906193375,2.05034315,2.668620844
AT1G02700,1.64522172,1.925165811,3.310732022,2.678927844,7.842039759,8.613685098
