Analysis.Id,50kPa_notsuppO2_Rep1,50kPa_notsuppO2_Rep2,50kPa_notsuppO2_Rep3,50kPa_suppO2_Rep1,50kPa_suppO2_Rep2,50kPa_suppO2_Rep3,97kPa_CTRL_Rep1,97kPa_CTRL_Rep2,97kPa_CTRL_Rep3
AT1G01010,2.620909558,2.620909558,2.829521596,2.608186496,2.620909558,2.547544107,3.035799227,2.620909558,2.543722872
AT1G01040,5.782096685,5.933136718,6.200030486,5.933136718,5.862964272,5.718251559,6.095674603,6.018978931,5.933136718
AT1G01050,8.50049593,8.546600325,8.44187899,8.489446384,8.604273839,8.521644431,8.555572751,8.605217956,8.552932786
AT1G01070,6.596820634,6.937719234,6.954116806,6.433478364,6.517705838,6.793497127,7.034254744,7.117572475,6.846084031
AT1G01080,4.304562773,4.699463307,4.534733448,4.193152054,4.621274081,4.288762889,4.359641006,4.46348955,4.744478766
AT1G01090,7.65336362,7.950062563,7.46451824,7.627828768,7.66444515,7.6027857,7.605089645,7.643917491,7.656425106
AT1G01100,11.61887403,11.51364083,11.43662561,11.57978027,11.61681754,11.46415999,11.49401111,11.50262548,11.29934193
AT1G01110,3.241465094,3.069883975,3.014207441,3.489875739,3.32159869,3.379969375,3.214137812,3.17856851,3.253959223
AT1G01120,4.869597133,4.900606894,5.027280525,5.245673867,5.101654209,5.192756524,4.743120137,4.695507783,4.558644519
AT1G01140,4.012273872,4.40985541,4.0378289,3.95052752,4.187067399,3.86642042,3.610502248,3.917055302,4.012273872
AT1G01160,5.7150079,5.884771106,5.750166593,5.600950454,5.644676224,5.651543606,5.812120615,5.760651601,5.745995704
AT1G01170,7.653418901,7.964735891,8.02982621,7.410958374,7.763804515,7.076780631,7.708907948,7.743947109,7.743947109
AT1G01200,4.014197529,3.976174204,4.214664553,3.958335582,4.044906444,4.035838609,3.857904533,4.118705672,4.204733503
AT1G01210,9.376916672,9.057610598,9.230509742,9.467223727,9.305050457,9.457389839,9.241538797,9.144598364,9.157928314
AT1G01220,4.596720584,4.481740502,4.397421309,4.502472866,4.440746251,4.347571421,4.27685312,4.397421309,4.288075517
AT1G01225,3.893504685,3.615681724,4.150474473,4.03935369,3.714803225,3.837534381,3.983085291,3.884138228,3.688956575
AT1G01230,6.542532165,6.300287326,6.472789485,6.405431155,6.446673236,6.517124861,6.433453174,6.399788142,6.413212445
AT1G01240,4.967693442,4.883565138,5.550880925,5.225961521,5.225961521,4.902543789,5.498673129,5.477745079,5.191401182
AT1G01260,4.640629722,4.664743169,4.429348893,4.769797796,4.662182759,4.656825487,4.850449143,4.658551557,4.664743169
AT1G01290,4.946243827,4.900482721,4.684026883,4.978484574,4.946243827,5.081886349,4.946243827,4.946243827,5.054770974
AT1G01300,7.749172069,7.9519342,7.979764166,7.779792413,7.82726423,7.499990201,8.08864803,8.051147575,7.779121872
AT1G01310,2.036003997,2.068750209,2.126949327,1.987081908,1.850382136,2.150356771,2.084187387,2.094613792,2.068750209
AT1G01320,5.602165521,6.183614784,5.450987606,4.946319621,5.774679037,4.878432149,4.833188181,5.290117049,5.091643611
AT1G01340,4.445842613,4.240976426,4.558482224,4.113386561,4.129139694,4.853325409,4.317942244,4.317942244,4.443973629
AT1G01360,4.334781588,4.033626657,4.319358175,4.397125717,4.266243232,4.265498275,4.319358175,4.319358175,4.377082207
AT1G01370,3.770600358,3.869627002,3.694180385,3.841371767,3.923981065,3.725317669,3.858772116,3.770600358,3.770600358
AT1G01380,4.201971616,3.53026707,3.969376179,3.640139974,3.979138233,3.228710733,3.472043073,3.559213202,3.353219067
AT1G01430,5.642388343,5.631968918,5.479808122,5.631968918,5.806506204,5.94767311,5.536447224,5.570915514,5.658996017
AT1G01440,2.923510955,2.926542816,3.104681266,2.923510955,2.695408321,2.975913895,2.878685356,2.923510955,3.058498349
AT1G01450,2.051485925,1.985302052,2.085060554,1.933820844,2.223813017,2.246439363,2.072280788,2.104610476,2.179267719
AT1G01470,7.341150085,7.557372387,7.578488464,7.382032172,7.251733623,7.050582328,7.805206104,7.635755384,7.54180851
AT1G01480,2.723888276,2.699472532,2.941334043,3.014298767,2.779818807,3.32159869,2.941334043,2.882108901,3.107696871
AT1G01490,8.391809851,8.3520344,8.734838373,8.740768579,8.582444141,8.626955072,8.750358552,8.611191244,8.501361564
AT1G01500,5.039991239,4.912043257,4.961383367,5.039991239,5.161499861,5.124954518,4.951318874,4.870489042,5.350729775
AT1G01510,6.11148274,6.116471051,6.100092391,6.16728168,6.192925794,6.00560181,6.116471051,6.135784724,6.025432414
AT1G01540,6.154546061,6.269136069,6.107795763,6.216182818,6.231477885,6.046295865,6.138909705,6.040783764,6.067991042
AT1G01550,7.702837449,7.564963439,7.702837449,7.63668594,7.77716862,7.764040627,7.780227112,7.655828751,7.428635918
AT1G01570,2.641563095,2.607197029,2.77535991,2.7946634,2.72293434,2.959522067,2.871237624,2.602550054,2.72293434
AT1G01610,5.393734796,5.662027171,5.193770047,4.985554692,5.20002885,5.499541281,5.04641101,5.130870714,4.563819667
AT1G01620,9.048975509,8.922925855,9.144519624,8.905306838,9.09358575,9.092179025,9.195034155,9.122393124,9.134579464
AT1G01630,7.551997702,7.551997702,7.556369358,7.549558188,7.789721557,7.772204859,7.240444978,7.408135777,7.499582291
AT1G01640,6.645951506,6.593476305,7.087728167,6.620570744,6.795110375,6.838327811,7.046163746,7.040840223,6.732397808
AT1G01650,4.900552604,4.869347199,4.819790802,4.828750022,4.985416175,5.147793304,4.900552604,4.907587007,4.862190527
AT1G01660,3.073269377,3.233012629,3.205532441,3.053441225,3.108411863,3.543505041,3.184231725,3.011421869,3.233012629
AT1G01670,4.657466932,4.778515208,4.983529425,4.954768614,5.289554404,4.954768614,5.149226941,4.783518682,5.083328986
AT1G01700,1.904376203,1.928845374,1.887710855,2.077724719,1.981693665,1.989736167,1.99485037,1.995869697,1.981693665
AT1G01710,5.504257397,5.800328962,5.701419479,5.639046774,5.646938687,5.681407513,5.74330382,5.570915514,5.903731048
AT1G01720,3.81719727,3.752489387,3.754514183,4.01208182,3.812874354,3.982345861,3.739377926,3.862214529,3.126362791
AT1G01725,6.078272551,6.104677557,6.620588849,6.256348927,6.542620077,6.255967853,6.420590581,6.29104738,6.203055101
AT1G01730,5.933050305,5.913070221,6.086853604,5.933050305,5.933050305,5.670267194,5.998081438,6.016771973,5.921292851
AT1G01740,4.641978666,4.494542929,4.645184004,4.641978666,4.658884953,4.641978666,4.641978666,4.777549577,5.044103222
AT1G01750,7.031824811,6.468716919,6.554453239,6.680684142,6.695147437,7.457805309,6.770130865,6.725432148,6.714284998
AT1G01760,3.25460362,3.400669706,3.574244179,3.497897328,3.493557663,3.400669706,3.237809136,3.203536088,3.353310855
AT1G01770,3.218044817,3.812721052,3.544362611,3.525047513,3.393205338,3.103772551,3.710201846,3.965774319,3.544362611
AT1G01780,5.676230161,5.585654288,5.958676011,5.677569298,5.930510837,6.090556635,6.06633172,5.930510837,5.953296209
AT1G01790,5.343960375,5.782128432,5.631922204,5.417350324,5.491905555,5.36242378,5.491905555,5.553699801,5.630442922
AT1G01800,8.235649319,8.276485347,8.248696496,8.127583106,8.248696496,8.41508244,8.248696496,8.16699732,8.248696496
AT1G01820,5.588130242,5.531951148,5.580676223,5.531951148,5.457664451,5.42018531,5.569294166,5.538252566,5.331500976
AT1G01830,3.090129137,3.081343671,2.505303874,3.081343671,3.081343671,2.985044524,3.139933795,3.08386608,3.081343671
AT1G01840,3.749145992,3.712537962,3.844267241,3.81719727,3.818544164,3.925029044,3.968511277,3.69145163,3.784767409
AT1G01860,3.233012629,3.587675947,3.233012629,3.183037999,3.115505669,3.233012629,3.178864532,3.09747913,3.401776422
AT1G01900,3.62363794,3.698666891,4.099504485,3.692637269,3.568066205,3.327544557,4.368255545,3.999293452,3.756040964
AT1G01910,6.374653542,6.29541335,5.984216468,6.062768883,6.388926623,6.272799185,6.021753354,6.154668994,6.191205652
AT1G01920,4.613247731,4.717765841,4.668759668,4.717765841,4.609337404,4.818427236,4.742242819,4.682785335,4.760519688
AT1G01930,3.040326616,3.071196044,3.091879171,3.375451888,3.167357765,3.091879171,3.155811696,3.066125703,3.298879722
AT1G01940,7.205020798,7.086387966,7.014041611,7.150088028,7.17962694,7.155453026,7.063050362,7.076894234,7.180780162
AT1G01950,4.255463185,4.402928858,4.391859764,4.402928858,4.402928858,4.411562705,4.489537594,4.402928858,4.511936343
AT1G01960,6.261382672,6.515262731,6.437375375,6.489465119,6.476118484,6.515262731,6.610026005,6.519048772,6.574563643
AT1G01970,4.451135533,4.520373195,4.354082832,4.250833007,4.332360302,4.158126526,4.000644326,4.040583627,4.245377676
AT1G01990,4.893146077,4.875104643,4.918052835,5.003025331,4.857294057,4.8473146,4.851845054,4.875104643,4.728210072
