Analysis.Id,ARG1.KO_FLT_Rep1,ARG1.KO_FLT_Rep2,ARG1.KO_FLT_Rep3,ARG1.KO_FLT_Rep4,ARG1.KO_GC_Rep1,ARG1.KO_GC_Rep2,ARG1.KO_GC_Rep3,ARG1.KO_GC_Rep4,WT_FLT_Rep1,WT_FLT_Rep2,WT_FLT_Rep3,WT_FLT_Rep4,WT_FLT_Rep5,WT_GC_Rep1,WT_GC_Rep2,WT_GC_Rep3,WT_GC_Rep4,WT_GC_Rep5
AT1G01010,4.557068867,4.891306122,4.415196357,4.223536741,4.372009076,3.786492601,3.996360992,4.052013678,4.732916511,3.733180133,4.996183137,5.063986271,4.346340513,5.266837429,4.649877536,5.160163292,5.705574226,5.0397597
AT1G01040,2.264846173,2.607930592,2.084912111,2.088384929,2.17196768,2.194726633,2.53303252,2.423005707,2.109738419,1.963891652,2.224838002,2.137770363,1.88972136,2.172991046,2.222405393,1.991876608,2.032983799,2.063330709
AT1G01050,6.170186298,6.311251739,7.048464235,6.833446876,7.082500629,6.876151562,6.80974537,6.813643407,6.982691487,6.890909315,6.814752984,6.607620441,6.765663801,7.103926962,7.020163681,6.97429012,7.16993796,6.870398117
AT1G01070,2.077153311,1.779681593,2.096863191,1.970893721,2.241442947,2.040566152,2.143204044,1.76850478,2.02501431,2.009529393,2.067661643,2.201340653,1.967255521,2.151646416,2.386440525,2.041481418,2.073599942,1.820304313
AT1G01080,2.134654583,1.893777496,2.185617181,2.054147498,2.240726656,2.106096418,1.824484754,2.013764248,2.212780633,2.055258452,2.070354854,2.180734971,1.838787259,2.166428481,2.120783721,2.004657836,1.853268772,1.770749833
AT1G01090,7.009303699,6.708875504,7.28231249,7.216718374,6.94790502,6.598414594,7.046232748,7.072158684,7.198449022,7.077881394,7.039482422,6.901434955,7.343057802,7.131640505,6.824715416,7.058756056,7.046661373,6.885694411
AT1G01100,12.16735687,12.23767314,12.26209033,12.27201158,12.30474053,12.28356503,12.39408634,12.26487978,12.22267743,12.15251348,12.32033484,12.29255276,12.25994298,12.25095457,12.38123134,12.20292143,12.24622056,12.24394813
AT1G01110,2.350843701,2.559622797,2.262913218,2.233725994,2.334492441,2.434375003,2.280175572,2.480866446,2.334492441,2.32309478,2.488537989,2.383022003,2.501660803,2.368621974,2.362182636,2.379997421,2.558152429,2.240417622
AT1G01120,2.105249589,2.073633782,2.379032262,1.974416586,2.249859496,2.459934091,1.909975105,2.061620312,2.144911838,1.871081195,1.948219829,1.972557561,2.107877901,2.215895288,2.150774728,2.015946426,1.913829935,2.085683531
AT1G01140,2.180650974,1.961811728,1.978134778,1.890567718,2.183108415,2.317426401,2.020534442,2.0086313,2.19839804,2.017334507,1.921012825,1.703218067,2.104843386,2.274752274,2.020927615,2.145582111,2.048982589,1.916546449
