Analysis.Id,ARG1.KO_FLT_Rep1,ARG1.KO_FLT_Rep2,ARG1.KO_FLT_Rep3,ARG1.KO_FLT_Rep4,ARG1.KO_GC_Rep1,ARG1.KO_GC_Rep2,ARG1.KO_GC_Rep3,ARG1.KO_GC_Rep4,WT_FLT_Rep1,WT_FLT_Rep2,WT_FLT_Rep3,WT_FLT_Rep4,WT_FLT_Rep5,WT_GC_Rep1,WT_GC_Rep2,WT_GC_Rep3,WT_GC_Rep4,WT_GC_Rep5
Sample.LongId,Atha.Col.0.HypocotylCC.ARG1.KO.FLT.Rep1.147.Array,Atha.Col.0.HypocotylCC.ARG1.KO.FLT.Rep2.147.Array,Atha.Col.0.HypocotylCC.ARG1.KO.FLT.Rep3.147.Array,Atha.Col.0.HypocotylCC.ARG1.KO.FLT.Rep4.147.Array,Atha.Col.0.HypocotylCC.ARG1.KO.GC.Rep1.147.Array,Atha.Col.0.HypocotylCC.ARG1.KO.GC.Rep2.147.Array,Atha.Col.0.HypocotylCC.ARG1.KO.GC.Rep3.147.Array,Atha.Col.0.HypocotylCC.ARG1.KO.GC.Rep4.147.Array,Atha.Col.0.HypocotylCC.WT.FLT.Rep1.147.Array,Atha.Col.0.HypocotylCC.WT.FLT.Rep2.147.Array,Atha.Col.0.HypocotylCC.WT.FLT.Rep3.147.Array,Atha.Col.0.HypocotylCC.WT.FLT.Rep4.147.Array,Atha.Col.0.HypocotylCC.WT.FLT.Rep5.147.Array,Atha.Col.0.HypocotylCC.WT.GC.Rep1.147.Array,Atha.Col.0.HypocotylCC.WT.GC.Rep2.147.Array,Atha.Col.0.HypocotylCC.WT.GC.Rep3.147.Array,Atha.Col.0.HypocotylCC.WT.GC.Rep4.147.Array,Atha.Col.0.HypocotylCC.WT.GC.Rep5.147.Array
Sample.Id,Atha.Col.0.HypocotylCC.ARG1.KO.FLT.Rep1,Atha.Col.0.HypocotylCC.ARG1.KO.FLT.Rep2,Atha.Col.0.HypocotylCC.ARG1.KO.FLT.Rep3,Atha.Col.0.HypocotylCC.ARG1.KO.FLT.Rep4,Atha.Col.0.HypocotylCC.ARG1.KO.GC.Rep1,Atha.Col.0.HypocotylCC.ARG1.KO.GC.Rep2,Atha.Col.0.HypocotylCC.ARG1.KO.GC.Rep3,Atha.Col.0.HypocotylCC.ARG1.KO.GC.Rep4,Atha.Col.0.HypocotylCC.WT.FLT.Rep1,Atha.Col.0.HypocotylCC.WT.FLT.Rep2,Atha.Col.0.HypocotylCC.WT.FLT.Rep3,Atha.Col.0.HypocotylCC.WT.FLT.Rep4,Atha.Col.0.HypocotylCC.WT.FLT.Rep5,Atha.Col.0.HypocotylCC.WT.GC.Rep1,Atha.Col.0.HypocotylCC.WT.GC.Rep2,Atha.Col.0.HypocotylCC.WT.GC.Rep3,Atha.Col.0.HypocotylCC.WT.GC.Rep4,Atha.Col.0.HypocotylCC.WT.GC.Rep5
Sample.Name,Atha_Col-0_HypocotylCC_ARG1-KO_FLT_Rep1,Atha_Col-0_HypocotylCC_ARG1-KO_FLT_Rep2,Atha_Col-0_HypocotylCC_ARG1-KO_FLT_Rep3,Atha_Col-0_HypocotylCC_ARG1-KO_FLT_Rep4,Atha_Col-0_HypocotylCC_ARG1-KO_GC_Rep1,Atha_Col-0_HypocotylCC_ARG1-KO_GC_Rep2,Atha_Col-0_HypocotylCC_ARG1-KO_GC_Rep3,Atha_Col-0_HypocotylCC_ARG1-KO_GC_Rep4,Atha_Col-0_HypocotylCC_WT_FLT_Rep1,Atha_Col-0_HypocotylCC_WT_FLT_Rep2,Atha_Col-0_HypocotylCC_WT_FLT_Rep3,Atha_Col-0_HypocotylCC_WT_FLT_Rep4,Atha_Col-0_HypocotylCC_WT_FLT_Rep5,Atha_Col-0_HypocotylCC_WT_GC_Rep1,Atha_Col-0_HypocotylCC_WT_GC_Rep2,Atha_Col-0_HypocotylCC_WT_GC_Rep3,Atha_Col-0_HypocotylCC_WT_GC_Rep4,Atha_Col-0_HypocotylCC_WT_GC_Rep5
GLDS,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147
Accession,GLDS-147,GLDS-147,GLDS-147,GLDS-147,GLDS-147,GLDS-147,GLDS-147,GLDS-147,GLDS-147,GLDS-147,GLDS-147,GLDS-147,GLDS-147,GLDS-147,GLDS-147,GLDS-147,GLDS-147,GLDS-147
Hardware,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC
Tissue,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures
Age,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days
Organism,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana
Ecotype,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0
Genotype,arg1,arg1,arg1,arg1,arg1,arg1,arg1,arg1,arg1,arg1,arg1,arg1,arg1,arg1,arg1,arg1,arg1,arg1
Variety,Col-0 arg1,Col-0 arg1,Col-0 arg1,Col-0 arg1,Col-0 arg1,Col-0 arg1,Col-0 arg1,Col-0 arg1,Col-0 arg1,Col-0 arg1,Col-0 arg1,Col-0 arg1,Col-0 arg1,Col-0 arg1,Col-0 arg1,Col-0 arg1,Col-0 arg1,Col-0 arg1
Radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth
Gravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial
Developmental,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture,12 day old cell culture
Time.series.or.Concentration.gradient,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point
