Analysis.Id,sl_FLT-BA_Rep1,sl_FLT-BA_Rep2,sl_FLTBA_Rep3,sl_FLT-BA_Rep4,sl_FLT-BA_Rep5,sl_FLT-BG_Rep1,sl_GCBA_Rep1,sl_GC-BA_Rep2,sl_GC-BA_Rep3,sl_GC-BA_Rep4,sl_GC-BA_Rep5,sl_GC-BG_Rep1,UdCC_FLT-BB_Rep1,UdCC_FLT-BB_Rep2,UdCC_FLT-BB__Rep3,UdCC_FLT-BB_Rep4,UdCC_FLT-BG_Rep1,UdCC_FLT-BG_Rep2,UdCC_GC-BB_Rep1,UdCC_GC-BB_Rep2,UdCC_GC-BB_Rep3,UdCC_GC-BB_Rep4,UdCC_GC-BG_Rep1,UdCC_GC-BG_Rep2
Sample.LongId,Atha.Col.0.sl.FLT.BA1.Array,Atha.Col.0.sl.FLT.BA2.Array,Atha.Col.0.sl.FLT.BA3.Array,Atha.Col.0.sl.FLT.BA4.Array,Atha.Col.0.sl.FLT.BA5.Array,Atha.Col.0.sl.FLT.BG1.Array,Atha.Col.0.sl.GC.BA1.Array,Atha.Col.0.sl.GC.BA2.Array,Atha.Col.0.sl.GC.BA3.Array,Atha.Col.0.sl.GC.BA4.Array,Atha.Col.0.sl.GC.BA5.Array,Atha.Col.0.sl.GC.BG1.Array,Atha.Col.0.UdCC.FLT.BB2.Array,Atha.Col.0.UdCC.FLT.BB3.Array,Atha.Col.0.UdCC.FLT.BB4.Array,Atha.Col.0.UdCC.FLT.BB5.Array,Atha.Col.0.UdCC.FLT.BG2.Array,Atha.Col.0.UdCC.FLT.BG3.Array,Atha.Col.0.UdCC.GC.BB2.Array,Atha.Col.0.UdCC.GC.BB3.Array,Atha.Col.0.UdCC.GC.BB4.Array,Atha.Col.0.UdCC.GC.BB5.Array,Atha.Col.0.UdCC.GC.BG2.Array,Atha.Col.0.UdCC.GC.BG3.Array
Sample.Id,Atha.Col.0.sl.FLT.BA1,Atha.Col.0.sl.FLT.BA2,Atha.Col.0.sl.FLT.BA3,Atha.Col.0.sl.FLT.BA4,Atha.Col.0.sl.FLT.BA5,Atha.Col.0.sl.FLT.BG1,Atha.Col.0.sl.GC.BA1,Atha.Col.0.sl.GC.BA2,Atha.Col.0.sl.GC.BA3,Atha.Col.0.sl.GC.BA4,Atha.Col.0.sl.GC.BA5,Atha.Col.0.sl.GC.BG1,Atha.Col.0.UdCC.FLT.BB2,Atha.Col.0.UdCC.FLT.BB3,Atha.Col.0.UdCC.FLT.BB4,Atha.Col.0.UdCC.FLT.BB5,Atha.Col.0.UdCC.FLT.BG2,Atha.Col.0.UdCC.FLT.BG3,Atha.Col.0.UdCC.GC.BB2,Atha.Col.0.UdCC.GC.BB3,Atha.Col.0.UdCC.GC.BB4,Atha.Col.0.UdCC.GC.BB5,Atha.Col.0.UdCC.GC.BG2,Atha.Col.0.UdCC.GC.BG3
Sample.Name,Atha_Col-0_sl_FLT_BA1,Atha_Col-0_sl_FLT_BA2,Atha_Col-0_sl_FLT_BA3,Atha_Col-0_sl_FLT_BA4,Atha_Col-0_sl_FLT_BA5,Atha_Col-0_sl_FLT_BG1,Atha_Col-0_sl_GC_BA1,Atha_Col-0_sl_GC_BA2,Atha_Col-0_sl_GC_BA3,Atha_Col-0_sl_GC_BA4,Atha_Col-0_sl_GC_BA5,Atha_Col-0_sl_GC_BG1,Atha_Col-0_UdCC_FLT_BB2,Atha_Col-0_UdCC_FLT_BB3,Atha_Col-0_UdCC_FLT_BB4,Atha_Col-0_UdCC_FLT_BB5,Atha_Col-0_UdCC_FLT_BG2,Atha_Col-0_UdCC_FLT_BG3,Atha_Col-0_UdCC_GC_BB2,Atha_Col-0_UdCC_GC_BB3,Atha_Col-0_UdCC_GC_BB4,Atha_Col-0_UdCC_GC_BB5,Atha_Col-0_UdCC_GC_BG2,Atha_Col-0_UdCC_GC_BG3
GLDS,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Accession,GLDS-17,GLDS-17,GLDS-17,GLDS-17,GLDS-17,GLDS-17,GLDS-17,GLDS-17,GLDS-17,GLDS-17,GLDS-17,GLDS-17,GLDS-17,GLDS-17,GLDS-17,GLDS-17,GLDS-17,GLDS-17,GLDS-17,GLDS-17,GLDS-17,GLDS-17,GLDS-17,GLDS-17
Hardware,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC
Tissue,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Undifferentiated Cell Culture,Undifferentiated Cell Culture,Undifferentiated Cell Culture,Undifferentiated Cell Culture,Undifferentiated Cell Culture,Undifferentiated Cell Culture,Undifferentiated Cell Culture,Undifferentiated Cell Culture,Undifferentiated Cell Culture,Undifferentiated Cell Culture,Undifferentiated Cell Culture,Undifferentiated Cell Culture
Age,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days
Organism,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana
Ecotype,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0
