"User_ID sorted by SD","Ensembl_gene_id","symbol","sl_FLT_BA_Rep1","sl_FLT_BA_Rep2","sl_FLT_BA_Rep3","sl_FLT_BA_Rep4","sl_FLT_BA_Rep5","sl_FLT_BG_Rep1","sl_GC_BA_Rep1","sl_GC_BA_Rep2","sl_GC_BA_Rep3","sl_GC_BA_Rep4","sl_GC_BA_Rep5","sl_GC_BG_Rep1","UdCC_FLT_BB_Rep1","UdCC_FLT_BB_Rep2","UdCC_FLT_BB__Rep3","UdCC_FLT_BB_Rep4","UdCC_FLT_BG_Rep1","UdCC_FLT_BG_Rep2","UdCC_GC_BB_Rep1","UdCC_GC_BB_Rep2","UdCC_GC_BB_Rep3","UdCC_GC_BB_Rep4","UdCC_GC_BG_Rep1","UdCC_GC_BG_Rep2"
" AT1G54410","AT1G54410","",12,12,12,12,12,12,10,12,12,12,12,12,2,3,2,2,5,2,2,3,2,2,2,3
" AT1G62480","AT1G62480","",10,10,10,10,10,10,9,10,10,10,9,10,2,1,2,2,2,2,3,2,1,1,2,2
" AT1G09310","AT1G09310","",10,10,9,10,10,10,2,9,9,9,9,9,2,1,1,3,2,2,2,2,3,1,3,2
" AT3G16400","AT3G16400","",9,9,9,9,9,9,7,9,9,9,9,9,2,1,2,4,5,1,1,2,2,2,2,1
" AT2G05520","AT2G05520","",10,9,10,9,10,9,6,9,8,9,10,9,2,2,2,3,3,2,2,1,2,2,2,2
" AT1G20440","AT1G20440","",8,9,8,9,8,8,8,9,9,8,9,8,1,1,2,1,1,1,3,2,1,4,3,2
" AT4G23670","AT4G23670","",9,9,8,8,8,8,4,8,9,8,8,8,2,1,1,2,3,1,3,1,1,2,1,2
" AT5G14920","AT5G14920","",9,9,9,9,9,9,2,9,9,9,9,9,3,2,2,2,3,2,2,2,2,2,2,2
" AT2G30870","AT2G30870","",8,8,8,7,8,8,4,8,8,8,8,8,2,2,1,1,2,1,1,2,2,1,1,1
" AT4G30170","AT4G30170","",8,8,8,7,8,8,3,8,8,8,8,8,1,2,1,2,1,2,2,1,1,2,1,2
" AT1G12080","AT1G12080","",9,9,9,9,8,8,4,8,8,8,8,8,2,2,3,2,2,2,1,3,1,1,2,2
" AT4G21960","AT4G21960","",9,9,9,9,9,9,7,9,9,9,9,9,2,2,3,3,2,3,2,2,2,3,2,2
" AT3G18780","AT3G18780","",9,10,10,9,9,10,10,10,10,10,10,10,2,2,2,4,3,3,3,4,5,3,4,2
" AT1G62510","AT1G62510","",7,8,8,8,7,8,5,8,8,8,7,7,2,1,1,2,3,1,1,1,1,1,2,3
" AT5G40450","AT5G40450","",8,8,8,8,8,8,8,8,8,8,8,8,1,1,1,1,3,2,2,2,2,2,3,3
" AT2G06850","AT2G06850","",8,8,7,8,8,8,2,7,8,7,8,8,2,2,2,1,1,3,2,1,2,2,1,1
" AT1G72150","AT1G72150","",8,8,8,8,8,9,8,9,9,9,8,9,2,1,1,3,3,2,2,3,4,2,2,2
" AT3G16770","AT3G16770","",12,12,12,12,12,12,11,12,12,12,12,12,6,5,4,6,4,5,4,4,5,3,4,5
" AT3G09260","AT3G09260","",9,9,9,9,10,9,6,9,9,9,9,9,3,2,2,4,1,3,3,5,4,2,1,4
" AT2G45820","AT2G45820","",8,8,8,8,7,7,5,8,7,8,8,8,2,2,1,2,1,1,2,3,2,1,2,2
" AT1G62380","AT1G62380","",9,9,9,9,9,9,6,9,9,9,9,9,5,4,2,6,1,2,3,3,3,2,1,4
" AT2G01530","AT2G01530","",8,8,9,8,8,8,6,9,9,8,8,8,2,2,2,2,3,2,2,1,4,2,2,2
" AT5G53980","AT5G53980","",7,7,7,7,7,7,1,7,7,6,6,7,1,1,1,1,1,1,2,2,2,1,1,1
" AT1G70830","AT1G70830","",8,8,8,8,8,9,7,8,8,8,8,8,2,2,3,2,3,2,2,1,2,2,2,2
" AT3G22235","AT3G22235","",9,9,9,9,9,8,9,9,9,9,9,9,2,4,1,3,4,3,4,6,3,1,5,2
" AT5G14780","AT5G14780","",8,8,8,8,8,8,7,8,8,8,8,8,4,3,3,4,1,2,2,2,2,1,2,1
" AT2G41730","AT2G41730","",2,1,1,2,2,2,8,2,2,1,2,2,7,8,7,8,5,7,8,8,8,7,7,7
" AT2G38800","AT2G38800","",8,8,9,8,9,8,9,9,9,9,8,9,3,4,2,5,2,2,2,2,4,2,3,2
" AT3G46230","AT3G46230","",3,3,3,3,3,3,11,3,4,2,3,3,11,10,9,11,8,11,7,5,8,8,8,8
" AT2G03890","AT2G03890","",7,6,7,7,6,7,4,7,6,7,7,7,1,2,1,1,2,1,1,2,1,1,1,1
" AT5G09530","AT5G09530","",8,8,8,8,7,8,7,7,7,8,8,7,2,1,2,2,3,2,4,6,1,2,2,1
" AT1G06530","AT1G06530","",8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,4,3,2,2,1,3,2,2,3
" AT1G64640","AT1G64640","",8,8,7,8,7,8,1,7,7,7,8,7,2,3,2,3,3,2,2,1,4,1,2,1
" AT5G16730","AT5G16730","",6,6,7,6,7,7,5,6,7,6,6,6,1,1,1,2,1,1,1,1,1,1,1,1
" AT1G70850","AT1G70850","",8,8,8,8,7,7,6,8,8,8,7,8,3,1,1,2,2,2,3,2,2,3,2,2
" AT4G38080","AT4G38080","",7,8,7,7,6,6,7,7,7,7,6,7,1,1,1,3,4,1,3,1,1,2,2,1
" AT2G26400","AT2G26400","",2,2,3,2,6,5,8,2,2,2,2,2,9,9,5,9,5,8,9,9,8,8,8,7
" AT5G53880","AT5G53880","",11,11,10,10,10,10,4,11,10,10,10,10,3,3,3,5,7,3,5,6,5,3,5,3
" AT2G34585","AT2G34585","",7,7,8,7,8,7,5,8,8,7,8,8,2,2,2,2,2,1,2,3,3,2,2,1
" AT5G38410","AT5G38410","",8,8,6,8,9,7,6,6,7,8,8,7,1,1,2,3,4,3,2,2,1,3,2,2
" AT1G50480","AT1G50480","",6,7,7,7,7,7,7,7,6,6,6,6,1,1,1,2,2,1,1,3,1,2,1,2
" AT2G39570","AT2G39570","",8,8,8,8,8,8,7,8,8,8,7,8,2,2,2,2,3,2,2,4,2,2,3,2
" AT5G66040","AT5G66040","",8,9,9,9,8,8,8,9,9,8,8,8,2,3,3,2,4,3,3,2,3,2,3,3
" AT3G43800","AT3G43800","",7,7,7,6,7,7,3,8,7,7,6,7,1,2,1,2,2,1,2,2,1,4,1,2
" AT1G64190","AT1G64190","",7,8,8,8,8,8,6,8,8,8,7,8,2,2,3,2,2,1,3,4,2,3,2,2
" AT2G37130","AT2G37130","",9,10,10,9,9,10,6,9,10,9,9,9,3,4,3,4,3,3,3,4,4,4,2,3
" AT1G25230","AT1G25230","",7,7,7,7,6,7,2,7,7,6,7,7,1,1,2,1,1,1,2,3,2,2,2,2
" AT1G05850","AT1G05850","",7,7,7,7,7,8,5,7,7,7,7,7,1,2,1,2,1,2,2,2,2,2,2,2
