Sample.Name,Atha_Col.0_HypocotylCC_WT_FLT_Rep1,Atha_Col.0_HypocotylCC_WT_FLT_Rep2,Atha_Col.0_HypocotylCC_WT_FLT_Rep3,Atha_Col.0_HypocotylCC_WT_FLT_Rep4,Atha_Col.0_HypocotylCC_WT_FLT_Rep5,Atha_Col.0_HypocotylCC_WT_GC_Rep1,Atha_Col.0_HypocotylCC_WT_GC_Rep2,Atha_Col.0_HypocotylCC_WT_GC_Rep3,Atha_Col.0_HypocotylCC_WT_GC_Rep4,Atha_Col.0_HypocotylCC_WT_GC_Rep5,Atha_Col.0_HypocotylCC_HSFA2.KO_FLT_Rep1,Atha_Col.0_HypocotylCC_HSFA2.KO_FLT_Rep2,Atha_Col.0_HypocotylCC_HSFA2.KO_FLT_Rep3,Atha_Col.0_HypocotylCC_HSFA2.KO_GC_Rep1,Atha_Col.0_HypocotylCC_HSFA2.KO_GC_Rep2,Atha_Col.0_HypocotylCC_HSFA2.KO_GC_Rep3
AT1G01010,4.39305002,3.605857161,4.723259409,4.745721785,4.098427177,4.843059848,4.175066328,4.896958696,5.554525577,4.672484266,3.611033826,3.555606876,3.672920445,2.834605655,3.711354568,4.41242154
AT1G01040,1.796234065,1.863873529,1.980901356,1.790211829,1.873046685,2.009365011,2.175913963,1.81949231,1.960245864,1.941948139,1.979488563,2.081891526,2.213735701,1.905390634,2.151897995,1.920519796
AT1G01050,6.612159512,6.451005117,6.428733405,6.138290755,6.478644626,6.689374519,6.583114812,6.70384891,6.851621637,6.598718726,6.110435899,6.476728398,6.311535622,6.99412236,6.636476728,6.779842826
AT1G01070,1.789261723,1.77337317,1.915331669,1.969654169,1.832840304,1.953875309,2.154838701,1.847429993,1.924070847,1.714517732,1.994857591,1.926558023,2.232162913,1.768598094,1.981672691,1.806071952
AT1G01080,1.934269728,1.877479874,1.923639448,1.950311435,1.758319019,1.971611155,1.97735311,1.902313926,1.682554191,1.614467727,1.87768436,1.991300514,1.913632704,2.028259109,1.702203258,1.977913231
AT1G01090,6.730760242,6.607733981,6.642153452,6.495345899,6.975773905,6.748518511,6.384112941,6.622049497,6.57540367,6.465923254,6.440462287,6.001327337,6.415601382,6.2300047,6.517422263,6.378139231
AT1G01100,12.04919525,12.01044796,12.09034701,12.09964171,12.06769599,12.06083534,12.15834081,12.05861918,12.09527827,12.11096406,11.99011932,11.9229312,12.01873246,12.17607687,12.06167811,12.12923608
AT1G01110,2.175293546,2.241726084,2.228173299,2.250563729,2.433210839,2.175922936,2.170230516,2.304351011,2.46930414,2.150537073,2.273797452,2.305725837,2.232162913,2.188782113,2.655377328,2.216556523
AT1G01120,1.963311783,1.697051384,1.77823164,1.786652512,1.958691533,2.012088252,1.955760134,1.842794708,1.737732261,1.849788764,1.546123372,1.809011821,2.08782651,1.777575089,1.693349672,1.947591234
AT1G01140,2.054397366,1.747600472,1.969369397,1.683365713,1.957068991,2.113577555,1.930041194,2.087383724,1.913834518,1.882658537,1.980249457,1.998843846,1.770958963,1.723668753,1.889306533,1.962721401
AT1G01160,6.388782787,5.879579917,6.324100312,6.131063124,5.735066861,6.563909655,6.075012187,6.591223734,6.000500088,5.991966566,5.921644298,5.922803708,5.785377265,6.018139585,6.099673183,5.451463043
AT1G01170,6.749062237,6.760929439,6.236600008,6.444521943,6.968865546,6.725624816,7.0089496,6.936286954,6.167243254,6.618138595,6.273250835,6.494953479,6.032346286,5.64542976,6.198859553,6.08317409
AT1G01200,2.351434871,2.053364176,2.255997757,2.354135902,2.16798223,2.258033044,2.205284528,2.084359444,2.296980299,1.955730059,1.955057176,1.93849782,2.143426329,2.485582491,2.195769458,2.17025877
AT1G01210,8.027167061,8.435507061,8.08594933,8.072074311,8.135939592,8.378234756,8.404784856,8.19734418,8.238966361,8.42320092,7.910731456,7.584757535,7.732133015,8.395906567,8.113259666,8.039925503
AT1G01220,1.918234069,1.843451006,1.887048288,1.855124916,1.847599323,2.065367701,2.254810257,1.930542011,1.947233159,1.990558342,1.928166172,1.788043908,2.068320059,1.921375588,1.874104502,1.812827023
AT1G01225,1.877262969,1.855611322,1.788443271,1.927727182,1.97802572,1.963434526,1.905124886,1.908502135,1.880827575,2.031214367,1.923295062,1.853034101,2.023626854,2.090019647,2.032467893,1.943421754
AT1G01230,7.396359393,7.579574076,7.130066523,7.550860653,7.741712986,7.389728885,7.510364938,7.484015085,7.371252166,7.476198279,6.82238618,6.939269579,6.53797501,7.140917153,6.785524836,6.608381261
AT1G01240,6.307830986,6.155572088,6.485474824,6.708636212,7.006071332,6.523522346,6.403715346,7.155228352,6.34968549,6.642355738,6.115248984,5.561381631,5.947565303,5.875373739,5.888124649,6.25140047
AT1G01260,1.955354333,2.008784818,1.859822229,1.706828084,1.779377303,1.89438832,1.680120045,1.8093018,1.880410019,1.99802165,1.807235671,1.953394531,1.763785339,1.837547678,1.863909026,1.932565102
