Analysis.Id,WT_FLT_Rep1,WT_FLT_Rep2,WT_FLT_Rep3,WT_FLT_Rep4,WT_FLT_Rep5,WT_GC_Rep1,WT_GC_Rep2,WT_GC_Rep3,WT_GC_Rep4,WT_GC_Rep5,HSFA2.KO_FLT_Rep1,HSFA2.KO_FLT_Rep2,HSFA2.KO_FLT_Rep3,HSFA2.KO_GC_Rep1,HSFA2.KO_GC_Rep2,HSFA2.KO_GC_Rep3
Sample.LongId,Atha.Col.0.HypocotylCC.WT.FLT.Rep1.Array,Atha.Col.0.HypocotylCC.WT.FLT.Rep2.Array,Atha.Col.0.HypocotylCC.WT.FLT.Rep3.Array,Atha.Col.0.HypocotylCC.WT.FLT.Rep4.Array,Atha.Col.0.HypocotylCC.WT.FLT.Rep5.Array,Atha.Col.0.HypocotylCC.WT.GC.Rep1.Array,Atha.Col.0.HypocotylCC.WT.GC.Rep2.Array,Atha.Col.0.HypocotylCC.WT.GC.Rep3.Array,Atha.Col.0.HypocotylCC.WT.GC.Rep4.Array,Atha.Col.0.HypocotylCC.WT.GC.Rep5.Array,Atha.Col.0.HypocotylCC.HSFA2.KO.FLT.Rep1.Array,Atha.Col.0.HypocotylCC.HSFA2.KO.FLT.Rep2.Array,Atha.Col.0.HypocotylCC.HSFA2.KO.FLT.Rep3.Array,Atha.Col.0.HypocotylCC.HSFA2.KO.GC.Rep1.Array,Atha.Col.0.HypocotylCC.HSFA2.KO.GC.Rep2.Array,Atha.Col.0.HypocotylCC.HSFA2.KO.GC.Rep3.Array
Sample.Id,Atha.Col.0.HypocotylCC.WT.FLT.Rep1,Atha.Col.0.HypocotylCC.WT.FLT.Rep2,Atha.Col.0.HypocotylCC.WT.FLT.Rep3,Atha.Col.0.HypocotylCC.WT.FLT.Rep4,Atha.Col.0.HypocotylCC.WT.FLT.Rep5,Atha.Col.0.HypocotylCC.WT.GC.Rep1,Atha.Col.0.HypocotylCC.WT.GC.Rep2,Atha.Col.0.HypocotylCC.WT.GC.Rep3,Atha.Col.0.HypocotylCC.WT.GC.Rep4,Atha.Col.0.HypocotylCC.WT.GC.Rep5,Atha.Col.0.HypocotylCC.HSFA2.KO.FLT.Rep1,Atha.Col.0.HypocotylCC.HSFA2.KO.FLT.Rep2,Atha.Col.0.HypocotylCC.HSFA2.KO.FLT.Rep3,Atha.Col.0.HypocotylCC.HSFA2.KO.GC.Rep1,Atha.Col.0.HypocotylCC.HSFA2.KO.GC.Rep2,Atha.Col.0.HypocotylCC.HSFA2.KO.GC.Rep3
Sample.Name,Atha_Col-0_HypocotylCC_WT_FLT_Rep1,Atha_Col-0_HypocotylCC_WT_FLT_Rep2,Atha_Col-0_HypocotylCC_WT_FLT_Rep3,Atha_Col-0_HypocotylCC_WT_FLT_Rep4,Atha_Col-0_HypocotylCC_WT_FLT_Rep5,Atha_Col-0_HypocotylCC_WT_GC_Rep1,Atha_Col-0_HypocotylCC_WT_GC_Rep2,Atha_Col-0_HypocotylCC_WT_GC_Rep3,Atha_Col-0_HypocotylCC_WT_GC_Rep4,Atha_Col-0_HypocotylCC_WT_GC_Rep5,Atha_Col-0_HypocotylCC_HSFA2-KO_FLT_Rep1,Atha_Col-0_HypocotylCC_HSFA2-KO_FLT_Rep2,Atha_Col-0_HypocotylCC_HSFA2-KO_FLT_Rep3,Atha_Col-0_HypocotylCC_HSFA2-KO_GC_Rep1,Atha_Col-0_HypocotylCC_HSFA2-KO_GC_Rep2,Atha_Col-0_HypocotylCC_HSFA2-KO_GC_Rep3
GLDS,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205
Accession,GLDS-205,GLDS-205,GLDS-205,GLDS-205,GLDS-205,GLDS-205,GLDS-205,GLDS-205,GLDS-205,GLDS-205,GLDS-205,GLDS-205,GLDS-205,GLDS-205,GLDS-205,GLDS-205
Hardware,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC
Tissue,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures,Cell cultures
Age,14 days,14 days,14 days,14 days,14 days,14 days,14 days,14 days,14 days,14 days,14 days,14 days,14 days,14 days,14 days,14 days
Organism,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana
Ecotype,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0
Genotype,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,hsfA2,hsfA2,hsfA2,hsfA2,hsfA2,hsfA2
Variety,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 WT,Col-0 hsfA2,Col-0 hsfA2,Col-0 hsfA2,Col-0 hsfA2,Col-0 hsfA2,Col-0 hsfA2
Radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Cosmic radiation,Background Earth,Background Earth,Background Earth,Background Earth,Background Earth,Cosmic radiation,Cosmic radiation,Cosmic radiation,Background Earth,Background Earth,Background Earth
Gravity,Microgravity,Microgravity,Microgravity,Microgravity,Microgravity,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Terrestrial,Microgravity,Microgravity,Microgravity,Terrestrial,Terrestrial,Terrestrial
Developmental,14 day old cell culture,14 day old cell culture,14 day old cell culture,14 day old cell culture,14 day old cell culture,14 day old cell culture,14 day old cell culture,14 day old cell culture,14 day old cell culture,14 day old cell culture,14 day old cell culture,14 day old cell culture,14 day old cell culture,14 day old cell culture,14 day old cell culture,14 day old cell culture
Time.series.or.Concentration.gradient,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point,Single time point
Light,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark,Dark
Assay..RNAseq.,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling,Microarray Transcription Profiling
Temperature,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24,22-24
Treatment.type,HSFA2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight microgravity environment,HSFA2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight microgravity environment,HSFA2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight microgravity environment,HSFA2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight microgravity environment,HSFA2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight microgravity environment,HSFA2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight microgravity environment,HSFA2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight microgravity environment,HSFA2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight microgravity environment,HSFA2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight microgravity environment,HSFA2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight microgravity environment,HSFA2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight microgravity environment,HSFA2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight microgravity environment,HSFA2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight microgravity environment,HSFA2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight microgravity environment,HSFA2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight microgravity environment,HSFA2 functions in the physiological adaptation of undifferentiated plant cells to spaceflight microgravity environment
Treatment.intensity,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Treament.timing,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Preservation.Method.,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater,RNAlater
