"","1: upregulation, -1: downregulation","Symbol","ZoneII-ZoneI","ZoneI_Rep1","ZoneI_Rep2","ZoneI_Rep3","ZoneII_Rep1","ZoneII_Rep2","ZoneII_Rep3"
"1","AT1G01070",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.16992500144231,3.32192809488736,3.16992500144231
"2","AT1G01120",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.32192809488736,3.16992500144231,3.16992500144231
"3","AT1G01140",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3,3.16992500144231,3.16992500144231
"4","AT1G01340",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.16992500144231,3.16992500144231,3.16992500144231
"5","AT1G02900",NA,1,2.8073549220576,2.58496250072116,2.58496250072116,3.70043971814109,3.70043971814109,3.70043971814109
"6","AT1G03920",NA,1,2.8073549220576,2.8073549220576,2.58496250072116,3.58496250072116,3.58496250072116,3.4594316186373
"7","AT1G04020",NA,-1,3.32192809488736,3.4594316186373,3.4594316186373,2.58496250072116,2.8073549220576,2.8073549220576
"8","AT1G05000",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.32192809488736,3.16992500144231,3.32192809488736
"9","AT1G05240",NA,1,2.8073549220576,2.58496250072116,2.58496250072116,3.8073549220576,3.70043971814109,3.8073549220576
"10","AT1G05340",NA,1,2.58496250072116,2.58496250072116,2.58496250072116,3.4594316186373,3.32192809488736,3
"11","AT1G06420",NA,-1,3.32192809488736,3.16992500144231,3.16992500144231,2.58496250072116,2.58496250072116,2.58496250072116
"12","AT1G06930",NA,-1,3.32192809488736,3.32192809488736,3.32192809488736,2.58496250072116,2.58496250072116,3
"13","AT1G07730",NA,1,2.8073549220576,3,3,3.58496250072116,3.58496250072116,3.58496250072116
"14","AT1G08320",NA,1,2.8073549220576,2.58496250072116,2.58496250072116,3.4594316186373,3.32192809488736,3.32192809488736
"15","AT1G08340",NA,1,2.58496250072116,2.32192809488736,2.8073549220576,3.58496250072116,3.4594316186373,3.4594316186373
"16","AT1G08560",NA,-1,3.4594316186373,3.58496250072116,3.58496250072116,3.16992500144231,2.32192809488736,2.58496250072116
"17","AT1G08670",NA,1,2.58496250072116,2.58496250072116,2.8073549220576,3.4594316186373,3.4594316186373,3.32192809488736
"18","AT1G08990",NA,1,2.8073549220576,2.58496250072116,2.58496250072116,3.4594316186373,3.4594316186373,3.4594316186373
"19","AT1G09090",NA,1,3,2.58496250072116,2.8073549220576,3.58496250072116,3.4594316186373,3.4594316186373
"20","AT1G09170",NA,1,2.8073549220576,2.58496250072116,2.58496250072116,3.32192809488736,3.32192809488736,3.32192809488736
"21","AT1G09440",NA,1,2.58496250072116,2.58496250072116,2.32192809488736,2.8073549220576,3,3
"22","AT1G09540",NA,1,3,2.8073549220576,2.58496250072116,3.32192809488736,3.32192809488736,3.4594316186373
