Sample.Name,Atha_Col-0_Root_Zone-I_Rep1_Array,Atha_Col-0_Root_Zone-I_Rep2_Array,Atha_Col-0_Root_Zone-I_Rep3_Array,Atha_Col-0_Root_Zone-II_Rep1_Array,Atha_Col-0_Root_Zone-II_Rep2_Array,Atha_Col-0_Root_Zone-II_Rep3_Array
AT1G01010,2.478917679,2.27513698,2.288082974,4.526576002,4.114460264,4.112661429
AT1G01040,7.306583878,7.43823725,7.387299698,8.152776716,8.578633322,8.22822274
AT1G01050,7.891127572,7.561273964,7.881097096,7.101089561,6.944240773,7.257550555
AT1G01070,2.259474736,1.950450176,1.754140788,5.208821995,5.790675244,4.978553968
AT1G01080,1.941317017,1.19501057,2.017682189,2.439063925,1.98470693,1.802163863
AT1G01090,9.529085455,9.544893102,9.591858423,7.708250628,7.89661335,8.126676209
AT1G01100,10.56950783,10.41595498,10.50556432,8.594816437,8.603537,8.899302404
AT1G01110,4.964815107,5.157207813,4.536788088,2.820870763,3.384814249,3.455067449
AT1G01120,2.182802867,1.60093146,1.935292886,6.217868787,5.182163342,5.112062163
AT1G01140,1.920269572,1.841565854,1.796862338,4.473018165,4.725652914,4.826672413
AT1G01160,7.4549312,7.502652845,7.591082876,6.886984548,6.144916061,6.23122455
AT1G01170,3.428286996,2.990405869,2.812333285,3.139530997,2.884914535,2.681215218
AT1G01200,4.117421454,3.896373837,3.8938648,5.099491416,5.214949558,5.172292358
AT1G01210,9.169044231,9.618717057,9.358238943,7.380575902,7.607057043,7.703071594
AT1G01220,4.546761764,4.933858217,4.699169156,4.431539758,4.49701908,4.365240019
AT1G01225,2.215835536,2.728840585,2.482297204,2.334918981,3.470688903,1.919286938
AT1G01230,6.335236671,6.316602904,6.213517889,6.521394618,6.653947038,7.028467262
AT1G01240,2.834331855,2.572248282,2.04982648,3.631872043,3.088071402,2.053339743
AT1G01260,4.531775999,4.694049598,4.76393317,4.107217695,3.516338971,3.951912013
AT1G01290,5.428473921,5.330179427,5.135842003,4.332424009,3.931148738,4.712254703
AT1G01300,5.566607965,5.636819869,5.587213157,4.510980263,5.712543751,5.695521212
AT1G01310,2.252624271,2.648497009,2.230123937,2.310060192,2.058229155,2.385600782
AT1G01320,3.969890534,4.689019018,4.388086521,2.833120082,3.679009842,2.786488305
AT1G01340,2.2267763,2.370640588,2.301140156,5.276474014,4.806531804,4.53977205
AT1G01360,6.057080201,6.236542561,5.772607035,6.748128829,7.331987779,6.880908977
AT1G01370,5.668132049,5.658215927,5.471330543,2.427796499,2.504051032,4.089193282
AT1G01380,3.466288289,3.790726351,3.614333162,3.332079926,3.747772078,2.886323734
AT1G01430,6.352759652,6.189094525,6.052581548,6.11179741,6.805464827,7.301875412
AT1G01440,4.359042456,4.567984079,4.376062611,5.691294475,5.422010503,5.152510638
AT1G01450,3.583210197,4.202924194,3.931664728,3.738355659,3.903788568,4.771722381
AT1G01470,3.771388027,3.893696989,3.693861326,6.061243716,5.638248365,5.751846152
AT1G01480,2.064152031,1.944905361,1.93318402,4.552920895,4.433448974,3.45962608
AT1G01490,8.826145347,8.355922484,8.466095774,7.988049579,7.361167901,7.193538305
