Sample.Name,Atha_Col.0_Root_Zone.I_Rep1,Atha_Col.0_Root_Zone.I_Rep2,Atha_Col.0_Root_Zone.I_Rep3,Atha_Col.0_Root_Zone.II_Rep1,Atha_Col.0_Root_Zone.II_Rep2,Atha_Col.0_Root_Zone.II_Rep3
AT1G01010,89.94480952,37.1310566,85.91485302,3.639967493,9.198788609,6.009293322
AT1G01040,155.224563,130.1281532,165.9995506,37.06086817,37.62982552,30.9258944
AT1G01050,1047.271155,970.2384313,916.6864746,1151.88812,1022.47124,1051.998544
AT1G01070,452.8162448,487.9675698,291.1448751,3.422321226,1.921958547,0
AT1G01080,47.35670414,118.4657503,102.9965059,20.26557772,16.06905933,20.08853007
AT1G01090,463.5293338,507.5642927,596.2528524,1430.791741,1764.763002,1533.396775
AT1G01100,1042.773,1220.344402,1227.345431,3691.386012,4121.697747,3707.275422
AT1G01110,17.14011942,16.89685584,14.93097848,65.77178401,121.9239908,97.48831978
AT1G01120,123.501996,80.47771395,30.23953185,0,0,0
AT1G01140,30.08948056,48.19747489,80.24202077,1.878899737,3.165551722,1.772589751
AT1G01160,114.7297626,137.0021628,100.3375482,207.0068571,214.6527374,194.740372
AT1G01170,41.29841906,49.90010434,16.19746456,27.01772286,23.87616783,24.64975768
AT1G01200,98.14127852,119.5475219,90.17845423,31.06766356,13.32782228,17.16207708
AT1G01210,175.0017338,157.2774456,143.8736476,265.5808785,461.8185813,393.1437063
AT1G01220,99.50128565,80.56753924,90.71151233,76.42140532,91.83546844,83.22174073
AT1G01225,94.93454527,77.26517917,66.92867592,32.95660422,64.67790111,57.48172649
AT1G01230,283.254882,264.5395344,427.4280537,239.0301212,204.9404115,235.8266263
AT1G01240,40.14757378,32.48847709,14.30739836,9.47038912,12.13218923,12.52856752
AT1G01260,38.8841676,37.04440642,95.26314403,56.04750099,54.87969478,82.30739068
AT1G01290,83.19425746,62.36030705,82.03369308,105.9295434,151.1569095,112.146874
AT1G01300,268.9874517,391.0420467,440.8164677,265.2505138,377.6791822,324.5602653
AT1G01310,3.127282333,3.089478534,2.303571345,4.585753069,0,0
AT1G01320,23.05267181,11.35005494,3.524186787,35.21534662,58.92297486,24.89043214
AT1G01340,42.51545491,39.85379203,25.37407362,0,0,2.550857549
AT1G01360,183.7259531,197.8576595,202.2490817,92.32258324,79.98831889,72.9360762
AT1G01370,7.861456465,4.336398014,7.275286006,72.09757846,128.3243554,97.4886218
AT1G01380,11.32648363,12.55371613,5.819233426,3.756080718,19.964157,2.425267827
AT1G01430,197.8374477,326.0570027,362.9858628,187.0797945,163.2889954,145.1115041
AT1G01440,52.37757071,94.96130864,75.76186358,32.63473844,37.71013416,15.45848799
AT1G01450,11.49504829,13.40325969,4.634717531,17.32391636,15.35370074,18.88251843
AT1G01470,782.5109465,655.6514257,552.3522237,51.09058303,81.92277681,77.2418691
AT1G01480,90.63319058,40.83932193,33.57906196,0,0,0
AT1G01490,270.8070315,170.7945329,158.6321088,273.7427235,260.9961483,297.4206494
AT1G01500,34.52055485,34.03994682,24.39301284,9.095625267,10.21729993,24.89684902
AT1G01510,97.40600762,98.05028446,160.7826319,253.0197951,278.3217987,219.8452056
AT1G01540,100.3664873,159.2067789,238.2826838,157.3948775,165.15881,133.3397935
AT1G01550,925.9441959,787.1668544,874.7987563,270.4782754,199.6978746,256.5760719
AT1G01570,25.55155165,8.061662686,15.8939469,0,14.96452816,5.870591228
AT1G01610,27.20590747,7.221569785,9.299143745,0,0,0
AT1G01620,8983.637367,9891.345923,8407.057912,2139.062294,1239.738465,878.5433921
AT1G01630,541.437014,512.4720691,412.7205599,240.5794227,243.5131824,269.5202975
AT1G01640,73.70303354,59.44574212,34.46250655,10.91929656,2.085158235,0
AT1G01650,118.9327387,128.4193774,123.306225,64.00691045,83.08793155,72.04676958
AT1G01660,90.58845414,32.84765618,42.80884614,6.327376966,8.378077901,4.271202145
AT1G01670,4.419098401,14.31183004,0,10.11746363,1.520616091,5.6338
AT1G01700,0,0,0,1.887292129,9.18187908,3.61899826
AT1G01710,82.62634567,117.5834194,98.69360572,30.0274626,38.83715341,42.0653796
AT1G01720,398.4412343,347.5736456,351.7109606,244.8392332,225.9165443,199.1608532
AT1G01725,46.51460872,36.92412352,44.02648751,13.09995624,10.4327852,11.98262524
AT1G01730,128.4120577,91.71951243,129.4703051,164.4967172,207.1132862,206.8002927
AT1G01740,2.11268015,4.167341594,9.378864084,19.21548515,22.46607173,6.070207748
AT1G01750,1291.033843,1053.579012,1526.818209,65.33989989,31.40296595,38.81885858
AT1G01760,5.496246941,1.969218697,4.429792818,24.20762203,25.87276418,24.2766617
AT1G01770,90.04994349,44.37507418,50.06577073,9.074665269,10.19982453,16.31556829
AT1G01780,469.9712774,280.0667791,370.5646252,55.07451848,56.57637927,18.86927471
AT1G01790,82.52144168,81.71745529,92.4122933,36.2622253,35.4969891,52.4906302
AT1G01800,511.5182279,429.7289984,495.0681134,343.7156976,242.8346427,380.1435396
AT1G01820,180.6715539,163.8837318,146.9270961,140.6259947,115.7933063,136.4478369
AT1G01830,43.44610856,28.66964726,53.47492087,60.58966112,54.25667557,39.43534014
AT1G01840,15.61026753,18.52221579,11.47165004,15.65363916,16.49687252,16.29071542
AT1G01860,18.3784118,22.37687833,18.90401142,17.99782161,23.23306217,29.63668426
AT1G01900,84.83508592,98.04899655,62.91058789,4.534710786,5.097724155,0.858764467
AT1G01910,240.8396526,293.9886441,250.9195898,296.5920477,333.923228,370.3707707
AT1G01920,64.79942891,78.39898825,108.5935111,201.5798782,180.4298799,185.9874323
AT1G01930,23.02755943,42.30389317,17.44914077,36.33044555,42.8671019,26.61776766
AT1G01940,104.1390094,94.69948697,75.83608172,186.6223207,271.8753228,263.2690297
AT1G01950,100.1447016,97.6282779,91.12987774,41.47779056,63.38666175,50.65797657
AT1G01960,127.9458905,227.2001134,258.3044151,368.8659884,327.524201,365.9499534
AT1G01970,9.413332094,0,4.644649907,18.19752371,18.39584288,30.90534043
AT1G01990,117.0690101,70.11733551,115.9364621,112.0846168,168.8182317,142.4857152
AT1G02000,143.3960338,138.2602241,130.2805859,74.48094622,53.07542295,49.80074391
AT1G02020,18.85205285,23.06000383,8.016191357,29.76077681,21.75644757,11.59785147
AT1G02050,6.272683072,4.124895596,4.639485821,29.14774744,18.41069349,19.74286833
AT1G02060,0,1.031887314,0,15.43392024,8.162603619,19.74951551
AT1G02080,259.0994072,317.0820827,236.2345759,345.1649285,373.1395562,399.4749418
AT1G02090,199.5981373,124.8436427,195.199241,332.8334541,356.2956866,319.1699397
AT1G02100,187.2856427,145.0203732,176.4250697,189.7641694,239.9818119,174.2795466
AT1G02110,32.45740859,48.50128635,11.64105409,73.51801695,93.85092159,121.0764777
AT1G02120,215.6102731,179.4909918,190.7696496,93.55319318,84.75324733,99.58576666
AT1G02130,411.1256673,494.5482295,576.1231556,595.6539918,574.6925517,536.2395464
AT1G02140,722.7082522,940.8086746,855.9816519,971.7757115,1328.534774,1115.671102
AT1G02150,68.02247513,67.06096592,34.88141406,100.8645787,107.2052911,100.4557709
AT1G02160,181.0762893,112.7862165,164.6142715,302.9684824,307.836467,305.7745782
AT1G02170,213.2097967,168.0668975,178.4953247,89.32614128,90.05353607,84.97416509
AT1G02180,11.46080007,9.26618513,8.052518025,11.93754576,20.57925698,8.57658168
AT1G02205,17.02005313,195.5490247,135.8284192,32.25211924,38.07245194,33.64493036
AT1G02220,124.4263784,91.78517613,88.18150104,34.60093543,30.6765938,25.75248822
AT1G02260,43.9263425,34.609823,54.44342579,83.22040656,71.93317095,80.02772052
AT1G02270,78.12843885,66.06851801,73.22456471,26.40406341,47.04488976,44.67836046
AT1G02280,118.891474,144.419323,109.1548329,170.0093435,144.5777642,147.0724885
AT1G02305,754.4764456,584.5822725,565.405137,95.74247802,82.91322116,71.23820373
AT1G02310,9.452390322,6.217549991,1.164369889,0,0,0
AT1G02330,84.56220914,147.3680595,147.958323,190.0948659,226.6028594,212.8057982
AT1G02340,12.53902017,20.61960619,11.58447999,15.50338093,20.47457021,12.87418349
AT1G02360,142.0285182,40.63113885,44.36785674,1.850150302,6.014968032,4.337813925
AT1G02370,3.139536851,5.158564861,6.976488527,54.51982407,63.30081957,66.97071081
AT1G02390,0,0,0,5.450107678,3.06216135,11.16217676
AT1G02400,21.17986374,55.25224602,43.44525287,0,0,0
AT1G02410,105.6341674,131.1529507,110.0919452,184.0343522,214.9159024,165.8923034
AT1G02420,12.54459556,9.280749124,5.798492186,6.377001141,4.091708158,6.008608573
AT1G02450,17.62380131,21.56998521,2.273515684,2.787623943,0,0
AT1G02460,193.6342763,218.7386373,202.3933079,18.16668788,15.31059555,17.17261217
AT1G02475,20.86672168,10.30248478,15.00470283,13.72881257,8.211692792,23.16482828
AT1G02500,9271.962925,7593.081896,5331.679109,2284.412126,1511.369062,1828.279461
AT1G02520,74.4329492,70.21357754,68.89700913,24.43162029,41.730531,39.51225777
AT1G02560,179.7821745,277.3742185,191.2890236,378.1835623,400.057371,356.213132
AT1G02575,71.96791655,13.3912821,44.98050717,0,0,0
