"Analysis.Id","Atha_Col.0_Root_Zone.I_Rep1","Atha_Col.0_Root_Zone.I_Rep2","Atha_Col.0_Root_Zone.I_Rep3","Atha_Col.0_Root_Zone.II_Rep1","Atha_Col.0_Root_Zone.II_Rep2","Atha_Col.0_Root_Zone.II_Rep3"
"Sample.LongId","Atha.Col.0.Root.Zone.I.Rep1.RNAseq.RNAseq","Atha.Col.0.Root.Zone.I.Rep2.RNAseq.RNAseq","Atha.Col.0.Root.Zone.I.Rep3.RNAseq.RNAseq","Atha.Col.0.Root.Zone.II.Rep1.RNAseq.RNAseq","Atha.Col.0.Root.Zone.II.Rep2.RNAseq.RNAseq","Atha.Col.0.Root.Zone.II.Rep3.RNAseq.RNAseq"
"Sample.Id","Atha.Col.0.Root.Zone.I.Rep1","Atha.Col.0.Root.Zone.I.Rep2","Atha.Col.0.Root.Zone.I.Rep3","Atha.Col.0.Root.Zone.II.Rep1","Atha.Col.0.Root.Zone.II.Rep2","Atha.Col.0.Root.Zone.II.Rep3"
"Sample.Name","Atha_Col-0_Root_Zone-I_Rep1","Atha_Col-0_Root_Zone-I_Rep2","Atha_Col-0_Root_Zone-I_Rep3","Atha_Col-0_Root_Zone-II_Rep1","Atha_Col-0_Root_Zone-II_Rep2","Atha_Col-0_Root_Zone-II_Rep3"
"GLDS",208,208,208,208,208,208
"Accession","GLDS-208","GLDS-208","GLDS-208","GLDS-208","GLDS-208","GLDS-208"
"Hardware","Petri dish","Petri dish","Petri dish","Petri dish","Petri dish","Petri dish"
"Tissue","Meristem zone 1","Meristem zone 1","Meristem zone 1","Elongation zone 2","Elongation zone 2","Elongation zone 2"
"Age","8 days","8 days","8 days","8 days","8 days","8 days"
"Organism","Arabidopsis thaliana","Arabidopsis thaliana","Arabidopsis thaliana","Arabidopsis thaliana","Arabidopsis thaliana","Arabidopsis thaliana"
"Ecotype","Col-0","Col-0","Col-0","Col-0","Col-0","Col-0"
"Genotype","WT","WT","WT","WT","WT","WT"
"Variety","Col-0 WT","Col-0 WT","Col-0 WT","Col-0 WT","Col-0 WT","Col-0 WT"
"Radiation","Background Earth","Background Earth","Background Earth","Background Earth","Background Earth","Background Earth"
"Gravity","Terrestrial","Terrestrial","Terrestrial","Terrestrial","Terrestrial","Terrestrial"
"Developmental","8 day old seedlings root tip meristem and elongation zone","8 day old seedlings root tip meristem and elongation zone","8 day old seedlings root tip meristem and elongation zone","8 day old seedlings root tip meristem and elongation zone","8 day old seedlings root tip meristem and elongation zone","8 day old seedlings root tip meristem and elongation zone"
"Time.series.or.Concentration.gradient","Single time point","Single time point","Single time point","Single time point","Single time point","Single time point"
"Light","White light","White light","White light","White light","White light","White light"
"Assay..RNAseq.","RNAseq Transcription Profiling","RNAseq Transcription Profiling","RNAseq Transcription Profiling","RNAseq Transcription Profiling","RNAseq Transcription Profiling","RNAseq Transcription Profiling"
"Temperature","18-20","18-20","18-20","18-20","18-20","18-20"
"Treatment.type","Comparative gene expression analysis in the Arabidopsis thaliana root apex using RNA-seq and microarray transcriptome profiles (microarray)","Comparative gene expression analysis in the Arabidopsis thaliana root apex using RNA-seq and microarray transcriptome profiles (microarray)","Comparative gene expression analysis in the Arabidopsis thaliana root apex using RNA-seq and microarray transcriptome profiles (microarray)","Comparative gene expression analysis in the Arabidopsis thaliana root apex using RNA-seq and microarray transcriptome profiles (microarray)","Comparative gene expression analysis in the Arabidopsis thaliana root apex using RNA-seq and microarray transcriptome profiles (microarray)","Comparative gene expression analysis in the Arabidopsis thaliana root apex using RNA-seq and microarray transcriptome profiles (microarray)"
"Treatment.intensity","x","x","x","x","x","x"
"Treament.timing","x","x","x","x","x","x"
"Preservation.Method.","RNAlater","RNAlater","RNAlater","RNAlater","RNAlater","RNAlater"
