Analysis.Id,FLT_Cen_Rep1,FLT_Cen_Rep2,FLT_uG_Rep1,FLT_uG_Rep2,GC_1G_Rep1,GC_1G_Rep2
AT1G01010,7.467505768,7.373975621,7.424595663,7.282196062,8.46425142,8.093688605
AT1G01040,8.227029237,8.194525683,8.097208778,8.103306603,8.069709909,7.978558545
AT1G01050,10.95560472,11.07401537,10.92648635,10.96389541,10.72756003,10.97318392
AT1G01070,3.644631417,3.443982836,3.686339282,3.472850482,3.152212372,3.135092669
AT1G01080,6.523397664,5.935307417,6.817767977,6.793420478,6.007675224,6.033895472
AT1G01090,10.35088844,10.38295394,10.23123892,10.45644248,10.01303633,10.29435976
AT1G01100,12.28365298,12.28408184,12.28392435,12.27190046,12.26247972,12.34017722
AT1G01110,3.967141234,3.988885787,4.186435446,4.262506541,3.863636378,4.090814851
AT1G01120,3.818814992,4.01871795,3.555976171,3.751709538,3.620230995,3.830347816
AT1G01140,7.703035215,7.984348654,7.75253131,8.353029142,7.440036813,7.633561119
AT1G01160,8.272544698,8.228170444,8.005917073,8.059200805,7.740094379,8.060144844
AT1G01170,8.87475195,8.019071647,9.448900888,8.940850846,6.809251382,7.408885125
AT1G01200,5.147150519,5.060592401,5.194240966,4.940189887,5.057033335,5.124720447
AT1G01210,11.22543447,11.19971041,11.33880337,11.30556952,10.99404197,11.2053127
AT1G01220,7.061748238,7.259270345,6.849150031,6.671408846,7.573117608,7.189878366
AT1G01225,6.457102462,6.540037725,6.64354212,7.120118199,7.03521099,7.393346492
AT1G01230,9.448440075,9.473154579,9.2638689,9.466939428,9.200786602,9.452895259
AT1G01240,8.997305272,8.856652744,8.771346317,8.622345837,8.493208529,8.744117295
AT1G01260,6.449352486,6.593867473,6.416419389,6.459912008,6.612572829,6.542600316
AT1G01290,8.212329924,8.171968198,8.29691376,8.302626248,7.949182919,8.046959182
AT1G01300,9.597635232,9.986575772,9.956863833,10.40202472,9.833954546,10.30499248
AT1G01310,3.613430687,3.879127326,3.612608288,3.542411897,3.564705623,3.625763223
AT1G01320,5.915217299,5.892961424,5.301675431,5.52245942,5.157439471,5.187625224
AT1G01340,4.970304235,5.111112158,5.028795272,5.035839457,5.683438083,5.149719957
AT1G01360,7.049328736,6.855919021,7.167792281,6.944171623,6.884480579,6.887997414
AT1G01370,4.956873589,5.019477727,5.157509543,5.601647158,6.005112009,6.084588897
AT1G01380,2.856223307,3.006241398,2.714743263,2.924111817,2.896616531,2.917931675
AT1G01430,7.793834412,7.578768142,7.598320277,7.494794618,7.048437155,6.938571612
AT1G01440,6.109855329,5.954275125,6.112916017,5.888955434,6.530896919,6.173893446
AT1G01450,4.05225513,4.394135137,4.063075417,3.961807406,3.944823428,3.762279972
AT1G01470,11.47594955,11.87387746,11.79684098,12.06719872,11.92404579,12.24527741
AT1G01480,9.43977592,10.08711819,9.57069228,10.2828657,11.23537852,11.26797086
AT1G01490,10.49066526,10.26014848,10.7778499,10.54714206,9.936969859,10.03264308
AT1G01500,7.194079495,7.318710169,7.50230136,7.349833488,7.086448159,7.09609491
AT1G01510,8.990974065,8.931243688,8.813572397,8.921712329,8.758084082,8.954216017
AT1G01540,8.404390925,8.447680282,8.273893963,8.290936954,7.88613348,7.922494831
AT1G01550,9.914637283,9.872269715,9.762674264,9.62853148,9.820118222,9.615667548
AT1G01570,5.549963456,5.986326057,6.320892274,6.30257332,6.320892274,6.355735918
AT1G01610,4.080363131,3.9512717,3.535539604,3.759456576,3.603234895,3.982030761
