X,Atha.Ws.leaf.FLT.Rep1.RNAseq.RNAseq,Atha.Ws.leaf.FLT.Rep2.RNAseq.RNAseq,Atha.Ws.leaf.FLT.Rep3.RNAseq.RNAseq,Atha.Ws.leaf.GC.Rep1.RNAseq.RNAseq,Atha.Ws.leaf.GC.Rep2.RNAseq.RNAseq,Atha.Ws.leaf.GC.Rep3.RNAseq.RNAseq,Atha.Ws.root.FLT.Rep1.RNAseq.RNAseq,Atha.Ws.root.FLT.Rep2.RNAseq.RNAseq,Atha.Ws.root.FLT.Rep3.RNAseq.RNAseq,Atha.Ws.root.GC.Rep1.RNAseq.RNAseq,Atha.Ws.root.GC.Rep2.RNAseq.RNAseq,Atha.Ws.root.GC.Rep3.RNAseq.RNAseq
X,Atha.Ws.leaf.FLT.Rep1,Atha.Ws.leaf.FLT.Rep2,Atha.Ws.leaf.FLT.Rep3,Atha.Ws.leaf.GC.Rep1,Atha.Ws.leaf.GC.Rep2,Atha.Ws.leaf.GC.Rep3,Atha.Ws.root.FLT.Rep1,Atha.Ws.root.FLT.Rep2,Atha.Ws.root.FLT.Rep3,Atha.Ws.root.GC.Rep1,Atha.Ws.root.GC.Rep2,Atha.Ws.root.GC.Rep3
Sample.Name,Atha_Ws_leaf_FLT_Rep1,Atha_Ws_leaf_FLT_Rep2,Atha_Ws_leaf_FLT_Rep3,Atha_Ws_leaf_GC_Rep1,Atha_Ws_leaf_GC_Rep2,Atha_Ws_leaf_GC_Rep3,Atha_Ws_root_FLT_Rep1,Atha_Ws_root_FLT_Rep2,Atha_Ws_root_FLT_Rep3,Atha_Ws_root_GC_Rep1,Atha_Ws_root_GC_Rep2,Atha_Ws_root_GC_Rep3
GLDS,218,218,218,218,218,218,218,218,218,218,218,218
Accession,GLDS-218,GLDS-218,GLDS-218,GLDS-218,GLDS-218,GLDS-218,GLDS-218,GLDS-218,GLDS-218,GLDS-218,GLDS-218,GLDS-218
Hardware,VEGGIE: Petri dish,VEGGIE: Petri dish,VEGGIE: Petri dish,VEGGIE: Petri dish,VEGGIE: Petri dish,VEGGIE: Petri dish,VEGGIE: Petri dish,VEGGIE: Petri dish,VEGGIE: Petri dish,VEGGIE: Petri dish,VEGGIE: Petri dish,VEGGIE: Petri dish
Tissue,Shoots,Shoots,Shoots,Shoots,Shoots,Shoots,Roots,Roots,Roots,Roots,Roots,Roots
Age,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days,11 days
Organism,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana
Ecotype,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0
