"","1: upregulation, -1: downregulation","Symbol","X1G-009G","X1G-018G","X1G-036G","X1G-057G","X1G-uG","X0point09G_Rep1","X0point09G_Rep2","X0point09G_Rep3","X0point18G_Rep1","X0point18G_Rep2","X0point18G_Rep3","X0point36G_Rep1","X0point36G_Rep2","X0point36G_Rep3","X0point57G_Rep1","X0point57G_Rep2","X0point57G_Rep3","X0point57G_Rep4","X1G_Rep1","X1G_Rep2","X1G_Rep3","uG_Rep1","uG_Rep2","uG_Rep3","uG_Rep4"
"1","AT1G11210",NA,1,0,0,0,0,6.54948949899911,6.91019099492375,7.48759878532751,8.34115410555651,7.3715741734439,7.51450866962831,7.97459735213747,8.71858380188016,7.55311441736752,8.42312134118823,8.83739239814442,6.7571828109828,7.02227289953742,8.78500796511861,8.67669259989198,8.74878227721742,7.463962995763,7.63316994073227,8.43820272809808,7.98010395028718
"2","AT1G14480",NA,1,0,0,0,0,4.8027906332819,5.28846650089505,5.45547657422877,7.91727067598109,6.22545736876113,5.82428631946008,6.68388060321891,8.20354765355155,6.83143639662134,6.46045208057079,6.56203160950426,6.55891609218051,7.5621465700931,7.07398117622382,6.67698202208768,8.08607584425026,6.31838778382012,6.84924669855387,6.64732796860517,7.19119183612292
"3","AT1G18570",NA,1,0,0,0,0,7.6952159253106,6.67570568053614,7.3707932868411,9.77372627547581,7.93902138870776,7.9624363951244,8.40244777740899,9.89037080371366,8.30229332371052,8.22022321357065,8.76339556573589,8.28793134911361,9.20935610059828,9.31902531416139,8.78134820956394,9.71992861026665,7.82922859703138,8.07529640802611,8.27035588952234,8.55361651531148
"4","AT1G18970",NA,-1,0,0,0,0,8.94600142611598,7.08012862706592,6.06199818318927,5.89973470469698,6.99656017359931,7.44216820451121,6.711623575573,4.80222491859194,5.45806213459689,6.60093781118774,6.41847684398753,6.36416969937405,6.22872598670208,5.69774356912649,5.60561650713989,5.17346825608129,7.35391613476531,6.66194938984098,7.1120360203813,6.05789273211303
"5","AT1G19180",NA,1,0,0,0,0,8.54162512154327,8.49923131370207,8.97582294793256,10.8909491112244,9.44355267506143,9.37450477215821,9.37450106251934,10.8979075898177,10.0346728506313,9.5088578058902,10.0225295767644,10.0179088390091,10.5516105958735,10.9092258701488,9.8925122398163,10.7630323028527,9.14604651475233,9.20108204826675,9.59231212837491,10.1461303484395
"6","AT1G20450",NA,1,0,0,0,0,7.94312723661503,9.56945011478337,10.1530110528887,11.0353734727211,9.949204672254,10.170685989191,10.3101656557669,11.3565141395788,10.781495126718,9.96973156451483,10.3081383457679,10.6933734404254,10.726120463852,11.2114029876732,10.6687199796446,10.9310145421315,9.89110655853823,10.0591596640317,10.2093972717019,10.1624886910903
"7","AT1G27730",NA,1,0,0,0,0,7.48664526542871,6.98058573598577,7.93823421489668,10.1382909037708,8.336342969585,7.10995312115929,8.06877705428443,10.4707762634247,9.54732345408249,8.38476053167632,9.2887994153708,9.86974032050604,9.99566960782099,10.6099549103166,9.37169813683345,10.5255751598342,7.29098893686543,8.54300885902089,8.86467209217546,9.163769686246
"8","AT1G27770",NA,1,0,0,0,0,9.52997773375071,9.3762585582344,10.012473966899,11.3321934815429,9.95791303310539,9.84253411783444,10.0834203857667,10.7193936516701,10.2942672269119,10.2442394939588,10.2037470371584,10.0919072257584,11.1779445712083,11.0291302567276,10.4909649004812,11.6644222822242,10.1548958633753,10.6386931124053,10.0683455306431,10.8944284987448
"9","AT1G32920",NA,1,0,0,0,0,9.04728183856333,8.94590085284267,9.59744207592734,10.7826974759323,9.96080417794336,9.35930752995279,9.85682065471974,10.6996599763471,10.4893485625918,10.1187082912496,9.93291205455692,9.98438979470339,11.0353887111944,10.7486297876273,10.0249324448264,11.4877957687438,9.76116186377999,10.0427960511527,10.1672533357069,10.0959120798151
"10","AT1G49230",NA,1,0,0,0,0,5.08276408984193,5.00298775425137,5.80331500792565,6.96985560510364,6.66901383350667,5.82428631946008,6.28281625337274,7.41200606034527,6.67097794623329,6.54018188466517,6.45163505050339,5.74431442295989,6.90679593321961,7.03059122596832,6.18046461666881,7.37021127517563,6.28186669140179,6.69024142341471,6.13269287293149,6.95734564848737
"11","AT1G51660",NA,1,0,0,0,0,7.07164729016769,7.26071276032423,7.70309138505421,8.5198919643799,7.93902138870776,7.53783793575412,7.78522606282823,8.42871080077547,8.14826184482559,8.15080110549852,8.48377522999465,8.01112194466599,8.61092787242888,8.78826823455039,8.07770457385438,8.7754385885955,7.87897941305775,8.09659203321038,8.10685152838053,8.35333164613052
"12","AT1G51700",NA,1,0,0,0,0,5.80240962326884,5.88582591364245,5.90282993478477,7.2117065297831,6.22545736876113,5.79876285722573,5.80482391909133,7.1840021313594,6.90543433378978,6.63038247936342,6.40160750689039,6.48094039579494,6.96568949170008,7.2825561359511,6.44997888321686,7.80481405734011,5.64042781094966,6.06974897612452,5.9806668444253,6.62099145977514
"13","AT1G51790",NA,-1,0,0,0,0,8.17962228216354,6.47899423444967,5.97320543138256,5.27852221184779,6.22545736876113,6.81125247560148,6.42366577452416,5.20411500380567,5.58358159885023,6.19083503935906,6.14203968372335,5.54414220680162,5.28531433621432,4.95165249759808,5.74571908459232,4.25107491496055,6.2252908167733,6.06974897612452,6.30721411948066,5.5769726095103
"14","AT1G51840",NA,-1,-1,0,0,-1,6.54948949899911,6.84878550778174,6.56568793351651,6.43562857399293,6.52016560077438,7.3572921671295,6.73884310162062,6.10288541536283,6.28397300978539,6.52458452999956,5.60720954220811,6.29293898781718,6.37494622413938,5.66973360254151,5.41728455505828,4.75828329480446,6.56628583996707,6.66194938984098,7.15326163226893,6.88639323365067
