Analysis.Id,0point09G_Rep1,0point09G_Rep2,0point09G_Rep3,0point18G_Rep1,0point18G_Rep2,0point18G_Rep3,0point36G_Rep1,0point36G_Rep2,0point36G_Rep3,0point57G_Rep1,0point57G_Rep2,0point57G_Rep3,0point57G_Rep4,1G_Rep1,1G_Rep2,1G_Rep3,uG_Rep1,uG_Rep2,uG_Rep3,uG_Rep4
AT1G01010,262.8644586,189.5754083,221.2085989,224.6142358,250.3010172,235.2301414,206.1484709,167.0165346,177.8371533,169.7787417,207.9874446,197.9028936,172.6300749,200.0625982,175.2989334,150.9463496,187.3992603,143.2139374,223.4628557,191.227762
AT1G01040,643.8107432,775.9891446,641.5688875,580.8209022,697.4721067,613.5042659,645.0507107,757.0175451,566.4493854,715.3333092,612.616671,662.7431881,667.8443856,641.9849202,629.2442986,686.15377,577.3295027,727.1391427,704.613822,825.0379663
AT1G01050,821.2943708,887.6693446,818.0305855,705.3574094,743.0157307,748.6321568,746.6993208,735.6964976,851.7294782,789.6350918,717.6513419,761.418295,847.4637843,833.6289893,774.9288878,860.4939389,821.5550412,807.7719778,695.3509959,746.6683311
AT1G01070,221.8067712,218.6424537,239.733837,236.5857195,178.3119736,240.5037669,225.2293867,185.1797672,305.9377084,218.6946537,172.7415168,258.2881343,360.6255967,233.0280914,177.3800793,194.0420172,271.2679898,213.7212421,173.8588964,228.2200585
AT1G01080,553.3282552,407.1255612,309.18582,173.8190651,221.5562684,217.8417344,268.181026,90.627659,301.3854077,407.2397564,239.3737377,139.6247708,359.6784115,210.1782399,227.7710572,528.4076089,289.2237462,429.1789852,244.020714,217.4097021
AT1G01090,2149.622916,2643.843178,2154.025703,1906.252712,2043.196212,2078.239469,1979.723038,1753.506298,2475.132955,2802.11488,2095.731754,1836.020234,2275.391607,1653.937512,2377.028639,2685.533803,2098.611394,2351.003045,2138.208819,1914.885667
AT1G01100,2011.827265,1587.27059,1740.824971,1955.932111,2217.04391,2115.932918,2124.944887,2084.873215,1879.342321,1480.311307,1688.183009,2140.741427,2192.972209,2098.22759,1577.253435,1540.261741,2160.890001,2012.873392,1749.358449,2224.400279
AT1G01110,68.57645302,110.2663781,81.28985259,75.02197283,143.2023511,115.2310564,124.2160667,101.1516846,88.20749342,110.8490477,90.37064816,99.16012975,110.8080398,126.026477,118.1523648,82.49196424,99.34806606,102.2118481,99.42827623,119.0745139
AT1G01120,615.8015507,1418.563129,1776.139545,2411.245824,1316.004174,1039.93362,1440.619431,1484.833751,1728.377668,1628.838991,870.6453491,1102.446887,2532.48469,1433.78406,1254.742297,2961.799687,1323.07921,2225.238919,1454.644614,1562.51842
AT1G01140,585.4064984,543.7408354,608.7024257,561.6705285,405.7302808,404.6248633,453.8412026,573.8619825,547.8482183,620.260064,587.9412923,533.8795727,461.1918399,504.7178467,530.8440564,753.5013271,475.7933901,652.1384708,518.1395634,367.2661684
AT1G01160,355.6897038,453.9252207,390.3205303,364.6120153,438.7704385,417.9784425,350.7774727,397.1588385,385.1040189,421.6587844,415.1438793,629.9180091,356.0045757,435.9588815,449.9807313,368.1953491,463.8860378,392.2938658,427.0846774,351.6848052
AT1G01170,536.5983245,544.8169083,351.8921423,358.1528422,347.8830935,301.0181121,335.6135549,400.9238265,299.635665,464.6780789,398.249728,560.4622191,248.1906098,401.4301338,424.0917257,511.9830637,381.9978172,464.7809327,449.4563995,344.4884969
AT1G01200,32.34088281,26.46962704,17.90672127,42.23343727,36.88996981,38.24467478,37.49499704,13.56328716,32.96906602,9.098357269,28.11577539,19.335812,64.27927262,18.19669739,22.73223716,20.32832306,25.95314017,30.84888315,32.30767835,35.02732716
AT1G01210,106.5849475,111.8681919,91.46136236,93.61970003,110.59938,83.60160415,92.14267159,96.93408594,108.1235118,92.84924859,97.83766257,161.0747737,87.84674866,122.6315252,79.17713336,87.48832733,127.3769456,108.077931,105.9293849,135.0301412
AT1G01220,306.9665946,307.1345439,300.5911804,311.9497003,294.2588726,251.5743242,230.8990179,306.7248888,293.1069164,252.9834503,286.9109625,246.5520896,278.8473448,300.5028682,273.3774908,313.243563,220.0909627,262.5881608,227.9142636,239.2449478
AT1G01225,23.24119688,13.2299875,20.59016233,12.35960415,31.62133015,26.18138223,14.33865683,13.55634881,20.42782327,21.23274728,11.11404403,7.02877837,20.20235397,15.47073872,22.74663859,17.42763112,17.70266211,19.73857739,14.67796021,19.24998985
