"","1: upregulation, -1: downregulation","Symbol","Microgravity-Terrestrial","Col0_FLT_Rep1","Col0_FLT_Rep2","Col0_FLT_Rep3","Col0_FLT_Rep4","Col0_FLT_Rep5","Col0_FLT_Rep6","Col0_FLT_Rep7","Col0_FLT_Rep8","Col0_GC_Rep1","Col0_GC_Rep2","Col0_GC_Rep3","Col0_GC_Rep4","Col0_GC_Rep5","Col0_GC_Rep6","Col0_GC_Rep7","Col0_GC_Rep8","Cvi0_FLT_Rep1","Cvi0_FLT_Rep2","Cvi0_FLT_Rep3","Cvi0_FLT_Rep4","Cvi0_FLT_Rep5","Cvi0_FLT_Rep6","Cvi0_GC_Rep1","Cvi0_GC_Rep2","Cvi0_GC_Rep3","Cvi0_GC_Rep4","Cvi0_GC_Rep5","Cvi0_GC_Rep6","Ler0_FLT_Rep1","Ler0_FLT_Rep2","Ler0_FLT_Rep3","Ler0_FLT_Rep4","Ler0_FLT_Rep5","Ler0_FLT_Rep6","Ler0_GC_Rep1","Ler0_GC_Rep2","Ler0_GC_Rep3","Ler0_GC_Rep4","Ler0_GC_Rep5","Ler0_GC_Rep6","Ws2_FLT_Rep1","Ws2_FLT_Rep2","Ws2_FLT_Rep3","Ws2_FLT_Rep4","Ws2_FLT_Rep5","Ws2_FLT_Rep6","Ws2_FLT_Rep7","Ws2_FLT_Rep8","Ws2_GC_Rep1","Ws2_GC_Rep2","Ws2_GC_Rep3","Ws2_GC_Rep4","Ws2_GC_Rep5","Ws2_GC_Rep6","Ws2_GC_Rep7","Ws2_GC_Rep8"
"1","AT1G02360",NA,-1,4.84069019752651,4.89299051043809,4.44461167397379,4.94108200561069,4.23646652320998,4.84238813367019,2.99893182453429,3.80361699890696,5.5695315084119,4.51098488376433,5.41350260766902,5.16082012169379,5.45345550236832,5.12129555311033,4.84746637501806,4.31793187808539,5.22890143201884,4.67987622247226,5.59444708651572,5.26932510923101,4.2302846866803,4.98629490723761,6.02459736842924,6.17289227043341,6.12949256549025,6.00673100432479,5.53985161596512,5.07481744104542,5.15650108344085,4.51219655771472,4.84184317571307,4.84870060366206,5.38466675908136,3.89482104612958,5.62896292062911,6.23338001060327,6.21406750384007,5.57692403644702,6.13729295501931,6.63472016816257,4.57418574255322,5.35040189021399,4.79387031683663,5.60536252410679,4.85265939848304,2,4.16618932727875,6.65908037692658,5.60245483700019,5.93888560326158,5.5708254140231,5.4121027964943,5.48607185380093,6.06172429364718,4.44300411351099,5.30912093254916
"2","AT1G02900",NA,-1,6.81352255014643,6.7527260042087,6.34030785783084,6.67202126972633,6.74089567483089,6.49049175345488,5.45748889278596,5.69560733958858,7.53041475405855,6.8921622548707,6.79378257090149,7.16994570477744,7.36862312845581,6.45082157232691,7.13788821995689,7.30801187552425,6.59430360033908,6.67704926197921,6.86131926529098,6.0492397177759,6.24557370242319,6.00766364238253,7.62319755278035,7.76376753501552,7.08767855252739,7.73852980898081,6.77888392877102,7.46979792381722,6.37792985692453,5.82009103343333,6.32204430107779,6.09838024228349,5.51584107568087,4.79323765632803,7.47601935017802,7.39439421861054,7.39417287974791,6.56145455082003,6.89413147566806,6.03545480803864,7.16732586312337,7.24021140418804,7.81742337246627,7.82288811983565,6.18398871687951,6.79886974583984,7.02876516100192,7.92570232942207,8.03670157481997,8.32368063959665,7.97916756911453,8.18426367488636,7.87027869761641,8.09871296308398,7.8689812805344,7.89289181377638
"3","AT1G03840",NA,-1,2.98999659416756,2.99199707246015,3.44791817626849,2.9924859984345,2.80114454154744,2.99097667904315,4.08582884078024,3.90305286181371,3.44873673679898,3.4497527748384,2.99297842495369,2.99488557739753,2,3.31652206725257,3.31461803410073,2.58329875541751,3.89131527109031,3.79001546993059,4.44139322415572,3.89376671695196,3.15753220921436,3.89541327463751,3.57094123217148,4.23379869388749,4.56709074880459,4.44580842586958,4.89293397651982,5.07481744104542,3.79657772153162,3.31368213616168,3.57249844048541,2.80274870360138,3.69458921491673,3.44896384770444,3.68924675029571,4.07573168773465,4.51069807477535,4.16310736902995,4.44863971376463,4.57703524476186,2.31934900511697,2.99604282870386,3.68955811346786,3.89943146556972,2.32069523206662,2,2,2,3.31393328924728,4.23501722656485,3.98844361804719,4.15778892719264,4.08261214252053,4.45563433826788,4.30586768501966,4.1588637692416
"4","AT1G05100",NA,1,7.81316799663756,7.7257181424843,7.82138846128828,7.57770357269124,8.16059513544589,7.42525879447745,8.50963894927379,7.90774058451903,5.9150057482851,6.00807134809603,5.19690440469203,5.9211644684534,6.453156045747,5.84958363732592,6.03293261380709,5.75026124167449,5.53513124433589,4.93302533359425,6.54871430191183,5.53819721247498,5.15004511171995,6.79224400210234,5.40715570722244,4.79200859775325,5.59500193383503,5.59940963006913,4.57154517872242,6.3083086239903,5.50977150874779,6.37920653959245,8.06369066949312,5.74491729362637,6.51547238203895,7.93215204633567,6.47638114466168,5.37842733261674,3.16128649700472,7.02492016362027,5.5115135773028,2.995248875333,5.48006638788808,7.0035484274693,5.7403153162794,5.45017901942313,5.94842061138076,7.5591108186222,6.28084421920418,4.00067858840559,4.63265101542084,4.07495934328763,5.03084396196243,5.62948986454368,4.63852700062736,5.42205476453409,4.30586768501966,4.63190638444037
"5","AT1G05260",NA,-1,5.76275263406115,6.58452776363254,6.68300736995113,6.30761786776946,5.60136899538996,7.0158757201232,5.85599134354308,6.54957623120048,8.24547352581626,8.16984700108751,7.89904662090878,6.90895610763016,8.46110492085767,7.73933987134728,8.17283970478871,6.80253668180888,7.46301374620792,8.2521070120559,8.06039964013351,7.23047616029511,8.19223866265945,7.56208518883644,9.10577309987788,9.1989470837197,9.02853898767351,9.06560464271576,9.20557987558703,9.08905275538807,7.23321647410666,5.91787473193298,6.59674268478335,6.98956699805429,6.03644979953836,5.71268746170239,7.69836007918093,8.48465649296256,8.1035797961694,7.30433281655143,8.29074749933566,7.9679135459405,6.74242710054221,6.6928201143543,6.86743523477088,7.07758218281285,6.62343174638082,5.9350549455162,6.86572446159044,7.53226661877018,7.76168259906633,8.33255754398598,8.07755523238153,8.92701984271066,7.83296837553442,7.8409284380147,8.16008469077829,8.78679099055751
"6","AT1G05280",NA,-1,2,2.57963215138541,2.79961108331772,2.57995751721749,2.58013451694511,2.318325536023,2.80643939151676,3.31878889063498,2.99160356227326,2,2.3191235644027,2.58155490098695,2,2.99549638490101,2.80213723236219,2,2.31769692794148,3.56878551816266,2.57764072955141,2.99106486499043,3.3085392651312,3.57453235379973,2.9894968445757,2.79970216516716,3.30908279019297,3.16068872020386,2.80047017155796,3.16197601610661,3.1615497014451,2.99313164488181,2.31820017042116,2.80274870360138,2.58214855320669,2.31864640077528,3.31223254965566,2.99234043435005,2.31882418870152,2.58204460237467,3.69131336985634,3.31622486481247,2,2.80396372591952,2,2.99491841540653,2.32069523206662,2,2,2,3.1625239253562,3.68912463823529,4.23576032901599,3.31257499472455,2.58285009844162,4.08391405465022,4.15431313674434,4.07658821453305
"7","AT1G05710",NA,-1,6.19046910470858,5.76648256589027,5.68370872315714,6.75367270185294,6.57103826746059,6.09147672347899,5.39038395420472,5.97237711295285,6.30593285363781,5.86844239143073,6.17652200459277,5.89732896002186,7.01599547932806,5.66411360676909,6.3282510098458,6.10381760819685,6.04608751909841,6.24372679452379,6.24586405337877,5.89016666006269,6.28253826568449,6.28890482127523,6.99080231492056,7.07007309808917,6.60875760928633,6.50762255673423,6.9386031698211,7.06290267807471,6.27107026557606,6.09555672560272,5.73754707685354,6.05596367611729,6.18183095529162,5.91534038814469,6.81726573903563,7.07255693371597,6.75317255732444,6.05784289967064,7.19661063660233,6.83630421863435,4.89568108817875,4.9472961433616,5.0735797156661,5.27626861901089,4.94881967864385,2,4.95001239430861,5.21026029972749,5.76898535887899,6.1743538857574,6.0939942491283,5.15604683830446,5.12366323831332,5.12517186327584,6.24773420660105,5.76816267496215
"8","AT1G06090",NA,-1,2.57830127630913,2.99199707246015,3.57289850062889,2.9924859984345,2.31903324387715,3.44793756558365,3.32064618939009,3.80361699890696,3.31184648960914,2.57990072935678,3.31349809462986,2.99488557739753,2,3.80091687415706,2.99391085777624,2.99750366199157,3.57081008367998,2.98788430043196,4.15278270566071,3.31119927300613,3.98324445761208,3.79617687124011,3.68587643914366,3.7945776815955,3.57068285434718,4.30860904154298,3.98793003940314,4.51172624627174,4.23601117333011,2.58038723242133,2.7993546835427,4.07923358350702,3.5793291064165,2.99178172551456,3.57418563952809,4.15799248381474,4.23563621228183,4.16310736902995,4.63277539279348,3.57862418444996,2.80182264439876,2,2.31879294167409,2,2.80471178188667,2,3.69711503102176,2,2.31926807928667,2.8003608194602,2.80076261459783,3.68964228227453,3.5807345986347,3.90348757210155,3.57159127241047,3.31340263157904
"9","AT1G06310",NA,-1,2,2.80049799146571,2.9909614706712,2.80091674829509,2.31903324387715,2.57895322846376,2,2.99738447103925,2.57937030874178,3.16147882244927,2.58028524984117,3.16424118885372,2,3.45369730098949,2.99391085777624,2.80521546833206,2.57790364601577,2,2.31753949270574,2,3.15753220921436,2.31880696080725,2.31773600409605,2,2.57784034477,2.80023501009134,2.31871929950945,3.45032276000269,3.1615497014451,2.58038723242133,2.31820017042116,2.99462464662045,3.16523203509184,2.80031355690974,2.31870348087592,3.31273172404295,2.57978560755795,2.80360225336234,3.69131336985634,2,2.31934900511697,2.58232559290587,2.31879294167409,2.31989760839997,2.99691586528909,2,2,2,2.80164887097578,2.57952557601104,2.57983775591243,2.57977382177976,2.58285009844162,3.90348757210155,3.30989957995157,4.44779345320569
"10","AT1G06930",NA,-1,2.98999659416756,2.57963215138541,3.15987868666181,3.44986153357974,2.31903324387715,3.89363699962383,2,3.45610193986758,3.68880082455252,2.57990072935678,3.16212113770078,2.58155490098695,3.90207179379573,2.99549638490101,2.80213723236219,3.31893197051985,2,2.98788430043196,3.15770132407402,2.79969962797939,2.57753960719869,2.99218446764231,2.79835690708461,3.44805377075928,4.07107127493746,2.80023501009134,2.5796105366096,4.15878411800874,3.1615497014451,2,2.99066206457208,2.80274870360138,3.31685903091474,2.80031355690974,4.235156630381,4.07573168773465,3.79623874305002,3.31667162128867,4.38164014160087,4.31431876689725,2.99354361002036,2.80396372591952,2,2.80300037488422,3.45550521075292,2,2.80529768600169,2,3.31393328924728,3.44903419173861,4.44682005174586,4.37968382346422,4.57967568431706,3.69722728569095,3.89217540309807,3.89646372359913
