Analysis. Id,Col0_FLT_Rep1,Col0_FLT_Rep2,Col0_FLT_Rep3,Col0_FLT_Rep4,Col0_FLT_Rep5,Col0_FLT_Rep6,Col0_FLT_Rep7,Col0_FLT_Rep8,Col0_GC_Rep1,Col0_GC_Rep2,Col0_GC_Rep3,Col0_GC_Rep4,Col0_GC_Rep5,Col0_GC_Rep6,Col0_GC_Rep7,Col0_GC_Rep8,Cvi0_FLT_Rep1,Cvi0_FLT_Rep2,Cvi0_FLT_Rep3,Cvi0_FLT_Rep4,Cvi0_FLT_Rep5,Cvi0_FLT_Rep6,Cvi0_GC_Rep1,Cvi0_GC_Rep2,Cvi0_GC_Rep3,Cvi0_GC_Rep4,Cvi0_GC_Rep5,Cvi0_GC_Rep6,Ler0_FLT_Rep1,Ler0_FLT_Rep2,Ler0_FLT_Rep3,Ler0_FLT_Rep4,Ler0_FLT_Rep5,Ler0_FLT_Rep6,Ler0_GC_Rep1,Ler0_GC_Rep2,Ler0_GC_Rep3,Ler0_GC_Rep4,Ler0_GC_Rep5,Ler0_GC_Rep6,Ws2_FLT_Rep1,Ws2_FLT_Rep2,Ws2_FLT_Rep3,Ws2_FLT_Rep4,Ws2_FLT_Rep5,Ws2_FLT_Rep6,Ws2_FLT_Rep7,Ws2_FLT_Rep8,Ws2_GC_Rep1,Ws2_GC_Rep2,Ws2_GC_Rep3,Ws2_GC_Rep4,Ws2_GC_Rep5,Ws2_GC_Rep6,Ws2_GC_Rep7,Ws2_GC_Rep8
Sample.LongId,Atha.Col.0.sl.pool.FLT.Rep1.R1.FL.A1.RNAseq.RNAseq,Atha.Col.0.sl.pool.FLT.Rep2.R1.FL.A4.RNAseq.RNAseq,Atha.Col.0.sl.pool.FLT.Rep3.R1.FL.B1.RNAseq.RNAseq,Atha.Col.0.sl.pool.FLT.Rep4.R1.FL.B4.RNAseq.RNAseq,Atha.Col.0.sl.pool.FLT.Rep5.R2.FL.A1.RNAseq.RNAseq,Atha.Col.0.sl.pool.FLT.Rep6.R2.FL.A4.RNAseq.RNAseq,Atha.Col.0.sl.pool.FLT.Rep7.R2.FL.B1.RNAseq.RNAseq,Atha.Col.0.sl.pool.FLT.Rep8.R2.FL.B4.RNAseq.RNAseq,Atha.Col.0.sl.pool.GC.Rep1.R1.GC.A1.RNAseq.RNAseq,Atha.Col.0.sl.pool.GC.Rep2.R1.GC.A4.RNAseq.RNAseq,Atha.Col.0.sl.pool.GC.Rep3.R1.GC.B1.RNAseq.RNAseq,Atha.Col.0.sl.pool.GC.Rep4.R1.GC.B4.RNAseq.RNAseq,Atha.Col.0.sl.pool.GC.Rep5.R2.GC.A1.RNAseq.RNAseq,Atha.Col.0.sl.pool.GC.Rep6.R2.GC.A4.RNAseq.RNAseq,Atha.Col.0.sl.pool.GC.Rep7.R2.GC.B1.RNAseq.RNAseq,Atha.Col.0.sl.pool.GC.Rep8.R2.GC.B4.RNAseq.RNAseq,Atha.Cvi.0.sl.pool.FLT.Rep1.R1.FL.C3.RNAseq.RNAseq,Atha.Cvi.0.sl.pool.FLT.Rep2.R1.FL.D2.RNAseq.RNAseq,Atha.Cvi.0.sl.pool.FLT.Rep3.R1.FL.D5.RNAseq.RNAseq,Atha.Cvi.0.sl.pool.FLT.Rep4.R2.FL.C3.RNAseq.RNAseq,Atha.Cvi.0.sl.pool.FLT.Rep5.R2.FL.D2.RNAseq.RNAseq,Atha.Cvi.0.sl.pool.FLT.Rep6.R2.FL.D5.RNAseq.RNAseq,Atha.Cvi.0.sl.pool.GC.Rep1.R1.GC.C3.RNAseq.RNAseq,Atha.Cvi.0.sl.pool.GC.Rep2.R1.GC.D2.RNAseq.RNAseq,Atha.Cvi.0.sl.pool.GC.Rep3.R1.GC.D5.RNAseq.RNAseq,Atha.Cvi.0.sl.pool.GC.Rep4.R2.GC.C3.RNAseq.RNAseq,Atha.Cvi.0.sl.pool.GC.Rep5.R2.GC.D2.RNAseq.RNAseq,Atha.Cvi.0.sl.pool.GC.Rep6.R2.GC.D5.RNAseq.RNAseq,Atha.Ler.0.sl.pool.FLT.Rep1.R1.FL.C2.RNAseq.RNAseq,Atha.Ler.0.sl.pool.FLT.Rep2.R1.FL.C5.RNAseq.RNAseq,Atha.Ler.0.sl.pool.FLT.Rep3.R1.FL.D3.RNAseq.RNAseq,Atha.Ler.0.sl.pool.FLT.Rep4.R2.FL.C2.RNAseq.RNAseq,Atha.Ler.0.sl.pool.FLT.Rep5.R2.FL.C5.RNAseq.RNAseq,Atha.Ler.0.sl.pool.FLT.Rep6.R2.FL.D3.RNAseq.RNAseq,Atha.Ler.0.sl.pool.GC.Rep1.R1.GC.C2.RNAseq.RNAseq,Atha.Ler.0.sl.pool.GC.Rep2.R1.GC.C5.RNAseq.RNAseq,Atha.Ler.0.sl.pool.GC.Rep3.R1.GC.D3.RNAseq.RNAseq,Atha.Ler.0.sl.pool.GC.Rep4.R2.GC.C2.RNAseq.RNAseq,Atha.Ler.0.sl.pool.GC.Rep5.R2.GC.C5.RNAseq.RNAseq,Atha.Ler.0.sl.pool.GC.Rep6.R2.GC.D3.RNAseq.RNAseq,Atha.Ws.2.sl.pool.FLT.Rep1.R1.FL.C1.RNAseq.RNAseq,Atha.Ws.2.sl.pool.FLT.Rep2.R1.FL.C4.RNAseq.RNAseq,Atha.Ws.2.sl.pool.FLT.Rep3.R1.FL.D1.RNAseq.RNAseq,Atha.Ws.2.sl.pool.FLT.Rep4.R1.FL.D4.RNAseq.RNAseq,Atha.Ws.2.sl.pool.FLT.Rep5.R2.FL.C1.RNAseq.RNAseq,Atha.Ws.2.sl.pool.FLT.Rep6.R2.FL.C4.RNAseq.RNAseq,Atha.Ws.2.sl.pool.FLT.Rep7.R2.FL.D1.RNAseq.RNAseq,Atha.Ws.2.sl.pool.FLT.Rep8.R2.FL.D4.RNAseq.RNAseq,Atha.Ws.2.sl.pool.GC.Rep1.R1.GC.C1.RNAseq.RNAseq,Atha.Ws.2.sl.pool.GC.Rep2.R1.GC.C4.RNAseq.RNAseq,Atha.Ws.2.sl.pool.GC.Rep3.R1.GC.D1.RNAseq.RNAseq,Atha.Ws.2.sl.pool.GC.Rep4.R1.GC.D4.RNAseq.RNAseq,Atha.Ws.2.sl.pool.GC.Rep5.R2.GC.C1.RNAseq.RNAseq,Atha.Ws.2.sl.pool.GC.Rep6.R2.GC.C4.RNAseq.RNAseq,Atha.Ws.2.sl.pool.GC.Rep7.R2.GC.D1.RNAseq.RNAseq,Atha.Ws.2.sl.pool.GC.Rep8.R2.GC.D4.RNAseq.RNAseq
Sample.Id,Atha.Col.0.sl.pool.FLT.Rep1.R1.FL.A1,Atha.Col.0.sl.pool.FLT.Rep2.R1.FL.A4,Atha.Col.0.sl.pool.FLT.Rep3.R1.FL.B1,Atha.Col.0.sl.pool.FLT.Rep4.R1.FL.B4,Atha.Col.0.sl.pool.FLT.Rep5.R2.FL.A1,Atha.Col.0.sl.pool.FLT.Rep6.R2.FL.A4,Atha.Col.0.sl.pool.FLT.Rep7.R2.FL.B1,Atha.Col.0.sl.pool.FLT.Rep8.R2.FL.B4,Atha.Col.0.sl.pool.GC.Rep1.R1.GC.A1,Atha.Col.0.sl.pool.GC.Rep2.R1.GC.A4,Atha.Col.0.sl.pool.GC.Rep3.R1.GC.B1,Atha.Col.0.sl.pool.GC.Rep4.R1.GC.B4,Atha.Col.0.sl.pool.GC.Rep5.R2.GC.A1,Atha.Col.0.sl.pool.GC.Rep6.R2.GC.A4,Atha.Col.0.sl.pool.GC.Rep7.R2.GC.B1,Atha.Col.0.sl.pool.GC.Rep8.R2.GC.B4,Atha.Cvi.0.sl.pool.FLT.Rep1.R1.FL.C3,Atha.Cvi.0.sl.pool.FLT.Rep2.R1.FL.D2,Atha.Cvi.0.sl.pool.FLT.Rep3.R1.FL.D5,Atha.Cvi.0.sl.pool.FLT.Rep4.R2.FL.C3,Atha.Cvi.0.sl.pool.FLT.Rep5.R2.FL.D2,Atha.Cvi.0.sl.pool.FLT.Rep6.R2.FL.D5,Atha.Cvi.0.sl.pool.GC.Rep1.R1.GC.C3,Atha.Cvi.0.sl.pool.GC.Rep2.R1.GC.D2,Atha.Cvi.0.sl.pool.GC.Rep3.R1.GC.D5,Atha.Cvi.0.sl.pool.GC.Rep4.R2.GC.C3,Atha.Cvi.0.sl.pool.GC.Rep5.R2.GC.D2,Atha.Cvi.0.sl.pool.GC.Rep6.R2.GC.D5,Atha.Ler.0.sl.pool.FLT.Rep1.R1.FL.C2,Atha.Ler.0.sl.pool.FLT.Rep2.R1.FL.C5,Atha.Ler.0.sl.pool.FLT.Rep3.R1.FL.D3,Atha.Ler.0.sl.pool.FLT.Rep4.R2.FL.C2,Atha.Ler.0.sl.pool.FLT.Rep5.R2.FL.C5,Atha.Ler.0.sl.pool.FLT.Rep6.R2.FL.D3,Atha.Ler.0.sl.pool.GC.Rep1.R1.GC.C2,Atha.Ler.0.sl.pool.GC.Rep2.R1.GC.C5,Atha.Ler.0.sl.pool.GC.Rep3.R1.GC.D3,Atha.Ler.0.sl.pool.GC.Rep4.R2.GC.C2,Atha.Ler.0.sl.pool.GC.Rep5.R2.GC.C5,Atha.Ler.0.sl.pool.GC.Rep6.R2.GC.D3,Atha.Ws.2.sl.pool.FLT.Rep1.R1.FL.C1,Atha.Ws.2.sl.pool.FLT.Rep2.R1.FL.C4,Atha.Ws.2.sl.pool.FLT.Rep3.R1.FL.D1,Atha.Ws.2.sl.pool.FLT.Rep4.R1.FL.D4,Atha.Ws.2.sl.pool.FLT.Rep5.R2.FL.C1,Atha.Ws.2.sl.pool.FLT.Rep6.R2.FL.C4,Atha.Ws.2.sl.pool.FLT.Rep7.R2.FL.D1,Atha.Ws.2.sl.pool.FLT.Rep8.R2.FL.D4,Atha.Ws.2.sl.pool.GC.Rep1.R1.GC.C1,Atha.Ws.2.sl.pool.GC.Rep2.R1.GC.C4,Atha.Ws.2.sl.pool.GC.Rep3.R1.GC.D1,Atha.Ws.2.sl.pool.GC.Rep4.R1.GC.D4,Atha.Ws.2.sl.pool.GC.Rep5.R2.GC.C1,Atha.Ws.2.sl.pool.GC.Rep6.R2.GC.C4,Atha.Ws.2.sl.pool.GC.Rep7.R2.GC.D1,Atha.Ws.2.sl.pool.GC.Rep8.R2.GC.D4
Sample.Name,Atha_Col-0_sl-pool_FLT_Rep1_R1-FL-A1,Atha_Col-0_sl-pool_FLT_Rep2_R1-FL-A4,Atha_Col-0_sl-pool_FLT_Rep3_R1-FL-B1,Atha_Col-0_sl-pool_FLT_Rep4_R1-FL-B4,Atha_Col-0_sl-pool_FLT_Rep5_R2-FL-A1,Atha_Col-0_sl-pool_FLT_Rep6_R2-FL-A4,Atha_Col-0_sl-pool_FLT_Rep7_R2-FL-B1,Atha_Col-0_sl-pool_FLT_Rep8_R2-FL-B4,Atha_Col-0_sl-pool_GC_Rep1_R1-GC-A1,Atha_Col-0_sl-pool_GC_Rep2_R1-GC-A4,Atha_Col-0_sl-pool_GC_Rep3_R1-GC-B1,Atha_Col-0_sl-pool_GC_Rep4_R1-GC-B4,Atha_Col-0_sl-pool_GC_Rep5_R2-GC-A1,Atha_Col-0_sl-pool_GC_Rep6_R2-GC-A4,Atha_Col-0_sl-pool_GC_Rep7_R2-GC-B1,Atha_Col-0_sl-pool_GC_Rep8_R2-GC-B4,Atha_Cvi-0_sl-pool_FLT_Rep1_R1-FL-C3,Atha_Cvi-0_sl-pool_FLT_Rep2_R1-FL-D2,Atha_Cvi-0_sl-pool_FLT_Rep3_R1-FL-D5,Atha_Cvi-0_sl-pool_FLT_Rep4_R2-FL-C3,Atha_Cvi-0_sl-pool_FLT_Rep5_R2-FL-D2,Atha_Cvi-0_sl-pool_FLT_Rep6_R2-FL-D5,Atha_Cvi-0_sl-pool_GC_Rep1_R1-GC-C3,Atha_Cvi-0_sl-pool_GC_Rep2_R1-GC-D2,Atha_Cvi-0_sl-pool_GC_Rep3_R1-GC-D5,Atha_Cvi-0_sl-pool_GC_Rep4_R2-GC-C3,Atha_Cvi-0_sl-pool_GC_Rep5_R2-GC-D2,Atha_Cvi-0_sl-pool_GC_Rep6_R2-GC-D5,Atha_Ler-0_sl-pool_FLT_Rep1_R1-FL-C2,Atha_Ler-0_sl-pool_FLT_Rep2_R1-FL-C5,Atha_Ler-0_sl-pool_FLT_Rep3_R1-FL-D3,Atha_Ler-0_sl-pool_FLT_Rep4_R2-FL-C2,Atha_Ler-0_sl-pool_FLT_Rep5_R2-FL-C5,Atha_Ler-0_sl-pool_FLT_Rep6_R2-FL-D3,Atha_Ler-0_sl-pool_GC_Rep1_R1-GC-C2,Atha_Ler-0_sl-pool_GC_Rep2_R1-GC-C5,Atha_Ler-0_sl-pool_GC_Rep3_R1-GC-D3,Atha_Ler-0_sl-pool_GC_Rep4_R2-GC-C2,Atha_Ler-0_sl-pool_GC_Rep5_R2-GC-C5,Atha_Ler-0_sl-pool_GC_Rep6_R2-GC-D3,Atha_Ws-2_sl-pool_FLT_Rep1_R1-FL-C1,Atha_Ws-2_sl-pool_FLT_Rep2_R1-FL-C4,Atha_Ws-2_sl-pool_FLT_Rep3_R1-FL-D1,Atha_Ws-2_sl-pool_FLT_Rep4_R1-FL-D4,Atha_Ws-2_sl-pool_FLT_Rep5_R2-FL-C1,Atha_Ws-2_sl-pool_FLT_Rep6_R2-FL-C4,Atha_Ws-2_sl-pool_FLT_Rep7_R2-FL-D1,Atha_Ws-2_sl-pool_FLT_Rep8_R2-FL-D4,Atha_Ws-2_sl-pool_GC_Rep1_R1-GC-C1,Atha_Ws-2_sl-pool_GC_Rep2_R1-GC-C4,Atha_Ws-2_sl-pool_GC_Rep3_R1-GC-D1,Atha_Ws-2_sl-pool_GC_Rep4_R1-GC-D4,Atha_Ws-2_sl-pool_GC_Rep5_R2-GC-C1,Atha_Ws-2_sl-pool_GC_Rep6_R2-GC-C4,Atha_Ws-2_sl-pool_GC_Rep7_R2-GC-D1,Atha_Ws-2_sl-pool_GC_Rep8_R2-GC-D4
GLDS,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
Accession,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37,GLDS-37
Hardware,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC
Tissue,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling
Age,8 days,8 days,8 days,8 days,8 days,8 days,8 days,8 days,8 days,8 days,8 days,8 days,8 days,8 days,8 days,8 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days,12 days
Organism,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana
Ecotype,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Cvi-0,Cvi-0,Cvi-0,Cvi-0,Cvi-0,Cvi-0,Cvi-0,Cvi-0,Cvi-0,Cvi-0,Cvi-0,Cvi-0,Ler-0,Ler-0,Ler-0,Ler-0,Ler-0,Ler-0,Ler-0,Ler-0,Ler-0,Ler-0,Ler-0,Ler-0,WS-2,WS-2,WS-2,WS-2,WS-2,WS-2,WS-2,WS-2,WS-2,WS-2,WS-2,WS-2,WS-2,WS-2,WS-2,WS-2
