Analysis.Id,FLT_Rep1,FLT_Rep2,FLT_Rep3,GC_Rep1,GC_Rep2,GC_Rep3,LN2_Rep1,LN2_Rep2,LN2_Rep3,RNAlat_Rep1,RNAlat_Rep2,RNAlat_Rep3
AT1G01010,186.3793784,330.9306436,294.1493171,527.7068729,302.1340892,443.4873933,220.9374741,346.7014185,319.3285603,315.8813678,328.7553737,455.07238
AT1G01040,685.5574289,377.992674,435.8018947,633.6530727,543.7347395,593.8631904,821.2288653,646.1428425,646.1784584,764.7400931,830.0200703,669.3554768
AT1G01050,787.214193,877.9082712,800.8273955,842.1005635,774.9691925,953.9727796,703.0203395,754.467813,677.6724217,730.1196689,556.6304849,615.680612
AT1G01070,38.05985656,52.03312931,70.33775297,140.894471,152.0622738,181.4275512,73.69398974,141.8531048,149.3754323,196.7349306,139.4240539,240.2155028
AT1G01080,502.8086553,710.1421029,801.439543,412.421567,483.0536594,507.6398244,304.8871755,265.8454769,237.1544917,279.461915,174.4701351,260.4526459
AT1G01090,1527.43701,1552.068828,1659.654815,991.7210474,1661.421726,1293.159629,1635.350718,1427.434466,1402.423725,1409.756383,1416.394927,1163.170313
AT1G01100,2442.431213,2095.26428,2206.250106,3890.552745,1722.394885,1961.669667,1816.998161,1284.714827,1398.263315,1705.747772,1441.712505,1402.85663
AT1G01110,128.7517039,139.3462462,153.4940581,138.9595945,136.298012,148.2902022,161.2242968,142.2286706,159.4971249,131.9297131,155.7090821,105.5722073
AT1G01120,3105.484482,4405.423549,4208.279438,4680.813006,5666.422648,4956.271206,6284.998909,8967.771423,8873.037213,4032.764441,4229.374371,4687.35122
AT1G01140,678.6117507,483.1557242,483.3646588,739.4443574,509.0974852,633.1372538,488.38429,682.6093735,590.235667,400.3821588,564.799468,575.1171495
AT1G01160,381.6381732,395.0876017,398.0555876,473.5967655,412.4419641,481.2219175,393.910074,321.282849,365.848986,488.8612891,457.2114821,428.7482386
AT1G01170,550.7085103,639.8506381,575.6831806,557.228512,458.7248965,656.4926943,319.1440723,262.1864221,328.8719872,320.2582696,295.5218865,356.4991704
AT1G01200,69.51407388,72.13658988,65.99250199,38.21154726,56.22852402,47.05278686,128.4762126,119.9582444,133.5490736,57.11904484,44.11799301,48.8792695
AT1G01210,99.45544408,65.01270357,73.32621427,91.94617891,41.7024557,58.99209477,60.34909532,49.08818937,52.21076691,63.79163149,53.48411947,71.1368195
AT1G01220,437.4630061,347.0779291,334.3464598,279.9556352,299.8991491,275.4121879,419.3385777,345.8875155,341.4686071,301.4695257,307.8550362,264.7671981
AT1G01225,30.04422288,27.88552554,28.58524576,12.20298113,26.2742946,31.17402617,22.90964101,29.60038598,22.87078301,47.03591521,41.68429736,48.88143255
AT1G01230,395.8740162,376.1038496,338.371323,333.2165351,320.620147,343.9022893,389.7340226,439.9588256,446.8490975,319.1193877,340.9016581,329.1658637
AT1G01240,138.7316934,152.28839,117.802619,155.2635667,170.7730382,162.0487359,160.0330776,175.7772964,169.5532749,202.9261601,186.0296691,287.2064818
AT1G01260,544.7552044,401.6027438,358.2484418,618.3220811,299.6721357,404.5184616,436.7769009,394.954448,405.4808464,336.600823,515.1027562,339.8543066
AT1G01290,120.3744297,85.88928344,93.75717396,132.223894,94.13704088,121.8405397,124.9458862,120.2749716,139.2963399,126.5726746,131.853129,109.7195522
AT1G01300,3206.965391,3501.912905,3930.76662,2597.172036,2531.685512,2444.678731,2275.324409,2707.399445,2268.06871,2429.743667,1578.5732,1902.74112
AT1G01310,9.268034842,20.96910227,21.28631791,21.16517748,35.07764901,14.73419923,3.050337611,2.815665596,9.519881977,45.35282558,26.1711797,47.79717
AT1G01320,8280.937759,10031.87655,10136.16213,5201.759038,7153.965144,5377.750317,6726.23386,3571.599754,4724.63136,5421.540722,3229.155945,4795.475799
AT1G01340,61.11658149,80.68939331,82.9462128,144.0595277,128.5262063,131.9123995,156.2246105,100.4836379,488.8243172,80.49741728,650.3475911,79.11849093
AT1G01360,198.6126792,141.738522,151.6102212,171.5667379,151.2305265,200.1092266,125.3827905,155.2031928,221.266197,213.3535702,180.0082123,310.6576256
AT1G01370,48.59328502,56.68631918,31.3435619,35.62341269,34.23253803,40.12155262,17.71521278,32.56244473,34.17126958,42.24203887,25.68780427,36.1797761
AT1G01380,160.9606559,129.759439,126.5599974,63.72442582,76.14904763,90.23650267,58.7853911,68.49218271,58.56645528,77.77995819,74.32694578,108.0291875
AT1G01430,853.4855556,1492.264743,1234.106964,857.5325888,1108.53649,1049.365066,926.5995862,1288.042642,1142.81031,1031.725913,543.4344439,909.0083815
AT1G01440,421.2243676,553.4533223,511.996334,646.1935752,597.6799227,624.6156968,509.3282909,540.5115642,651.4852925,532.6977861,747.7675558,502.806777
AT1G01450,82.84269824,96.17702675,127.5499226,147.0459102,115.4061948,122.4754441,87.32353129,73.49044208,103.1450829,94.08581256,106.2656984,112.9593457
AT1G01470,779.0963062,978.1972415,913.8776772,815.0138138,1041.588589,911.1435765,843.7425666,772.7582503,742.7834393,1433.097684,1633.965693,2794.700211
AT1G01480,72.95263109,63.59154836,36.78680357,85.36026008,34.7210278,62.28986276,104.392366,93.47512669,94.62373949,79.08384808,419.7128952,64.25388858
AT1G01490,774.7855585,923.0945924,997.4729096,2550.31682,1191.024848,1363.4834,878.1352449,1181.417683,1275.240375,1248.868162,1885.745178,1330.251956
AT1G01500,161.7209927,149.3807185,162.7755648,247.5759163,154.4421876,179.2175189,231.760689,217.9942054,202.7397581,225.1531425,249.9281401,248.7118184
AT1G01510,932.5866479,687.0450994,767.9895151,987.6693319,663.7216889,757.340709,739.9178583,648.160891,651.344306,685.6085092,561.8838484,612.4973742
AT1G01540,896.0742896,874.6126164,857.2768139,1213.671412,798.4171064,866.1203634,1024.591569,852.2850878,915.4620122,736.2116533,549.7515338,746.0751319
AT1G01550,1365.083415,2065.355924,1752.567499,1854.222816,2299.671274,2396.752,1958.03753,2741.747437,2757.346418,2139.19244,3239.231748,2441.569621
AT1G01570,24.68489956,18.30593579,34.33933835,29.74185832,37.82211312,23.35523222,23.32714331,28.67868583,31.23103456,50.21144517,33.45612213,45.03825184
AT1G01610,2007.053659,1919.35281,1877.10771,1597.092025,1551.766152,1542.729403,1980.982501,1590.380319,1968.846594,1461.84956,1525.342233,1363.002009
AT1G01620,3900.649184,10042.54267,8444.956874,7957.672216,15418.07076,11817.36633,11763.17478,16622.42675,13725.67346,10109.67936,5144.828134,8963.242121
AT1G01630,586.8284458,715.1405725,677.8839478,330.5877669,721.4794572,545.4971659,757.1194358,968.4440013,836.8714536,599.8087431,578.0933133,590.8559368
AT1G01640,58.52637203,118.4342533,137.7979621,212.9511347,344.0563637,356.6911199,103.8497495,177.7396264,139.0981461,379.6806735,274.0516941,308.6351132
AT1G01650,452.5736165,377.8822876,482.1528112,411.7783018,437.9834627,409.4756726,549.144878,513.2207965,455.5681574,463.3091935,608.0339754,443.890873
AT1G01660,35.32974174,22.1211665,26.33571753,56.05521605,47.28682311,39.18460315,31.83716857,38.07012203,16.99894921,37.44724735,22.43931281,46.08876977
AT1G01670,43.83487592,11.52967278,7.71008829,53.39490448,9.316714282,31.7526078,30.00899187,24.22342022,14.98935584,17.73902446,18.15670454,17.71738721
AT1G01700,12.06837827,21.58484015,18.72353362,11.41454562,16.08579122,11.6108179,18.69077439,26.09250708,20.82128691,25.98972911,21.69555796,18.47576207
AT1G01710,377.7376442,380.140794,349.2171453,493.5960018,396.8025082,475.2493889,417.3503344,414.6471874,443.6364032,310.8415189,432.7821573,375.7869326
AT1G01720,2805.501652,3594.64607,2726.694891,2810.851934,2150.763905,2326.278856,2969.906975,1194.186149,1548.661704,3172.232372,4493.194365,6555.685652
AT1G01725,62.97682565,89.90508302,80.69524738,31.95966814,92.73483941,77.47860844,49.57418898,48.63177725,58.38145284,99.0226656,83.40805055,61.94224706
AT1G01730,415.9330417,387.6953005,363.4265882,368.3103084,362.393784,441.6106204,278.3382837,371.1339722,322.4032824,403.1913635,506.7203415,450.7768706
AT1G01740,55.92188305,35.33614543,46.29185232,51.59009403,30.99556107,33.30766728,46.87944157,48.78155756,33.26097686,50.61839779,64.54448759,48.92332434
AT1G01750,64.74894168,76.50839521,115.5465751,56.27624804,157.0620813,111.3530254,91.16868993,88.28366181,56.71035082,85.56536556,76.17764493,173.8091456
AT1G01760,50.89013098,41.48634256,40.99696662,54.54269929,41.96645367,45.39432571,41.19477257,25.9345033,41.67474206,50.11366604,34.25600034,32.9881776
AT1G01770,295.0214812,224.6333466,231.721342,635.883604,267.3498228,468.5595244,332.1076654,201.3125518,254.7010305,285.6641813,332.9220895,305.1683364
AT1G01780,511.4691591,493.3544712,486.839873,784.9610151,744.5777618,771.2168714,756.0084562,620.5166691,628.0279859,606.3642904,535.0412727,691.9851249
AT1G01790,525.2541594,532.3330504,468.0843445,344.4482193,404.0852759,420.4194148,448.4277496,453.3805025,456.4098554,479.1381924,341.7243016,421.2157712
AT1G01800,734.5750742,517.5528324,476.2256989,621.6624098,410.8608351,592.2258051,555.1576591,527.722607,585.6181475,398.0203663,633.0740367,414.7831023
AT1G01820,455.7205387,448.9147543,454.2240024,714.4762249,562.6514181,697.3314311,475.9052386,523.8083339,643.1738244,589.6843799,930.4384872,487.6986607
AT1G01830,262.0468527,308.4782944,281.2504197,383.7828604,296.9965476,273.739354,260.2530038,313.5640671,339.2594771,258.2824407,251.4641832,327.2152846
AT1G01840,11.94297223,19.33103436,19.752156,17.93327329,21.98460723,13.59531897,19.76737886,14.04155203,15.19869201,11.75626567,24.91917785,15.20946939
AT1G01860,180.6722586,102.8215209,99.57064737,86.57360887,82.46124661,83.45534619,113.985798,117.9948078,88.65916709,111.8556373,83.72897338,83.92163384
AT1G01900,283.0663361,273.4682299,319.4859362,272.4668859,367.9230686,292.1558756,492.2277829,575.8023297,402.2861213,369.6900515,222.8272348,259.5516964
AT1G01910,523.0251343,401.3346254,420.6960296,411.641822,392.6755175,358.9294855,530.6910079,439.9292417,483.1446514,373.3849669,427.0201472,361.2299003
AT1G01920,233.5559173,169.3420729,180.8534481,222.598525,136.9764102,175.5335092,162.8147879,135.3429373,120.0787292,178.7103682,126.4861033,148.9807466
AT1G01930,252.8729326,224.0492136,206.1202444,332.6420876,223.9652398,281.340273,199.7465497,198.3630802,248.837223,169.7132054,219.0333997,212.8628771
AT1G01940,164.2272176,121.8564518,132.2229155,114.0584003,106.6622197,145.6064651,172.0345694,123.6966954,117.8938486,120.9295849,146.1031969,107.5491825
