Analysis.Id,FLT_Rep1,FLT_Rep2,FLT_Rep3,GC_Rep1,GC_Rep2,GC_Rep3,LN2_Rep1,LN2_Rep2,LN2_Rep3,RNAlat_Rep1,RNAlat_Rep2,RNAlat_Rep3
Sample.LongId,Atha.WT.Col.0.sl.FLT.Rep1.G1S1.RNAseq.RNAseq,Atha.WT.Col.0.sl.FLT.Rep2.G1S2.RNAseq.RNAseq,Atha.WT.Col.0.sl.FLT.Rep3.G1S3.RNAseq.RNAseq,Atha.WT.Col.0.sl.GC.Rep1.G2S1.RNAseq.RNAseq,Atha.WT.Col.0.sl.GC.Rep2.G2S2.RNAseq.RNAseq,Atha.WT.Col.0.sl.GC.Rep3.G2S3.RNAseq.RNAseq,Atha.WT.Col.0.sl.LN2.Rep1.n2.1.RNAseq.RNAseq,Atha.WT.Col.0.sl.LN2.Rep2.n2.2.RNAseq.RNAseq,Atha.WT.Col.0.sl.LN2.Rep3.n2.3.RNAseq.RNAseq,Atha.WT.Col.0.sl.RNAlat.Rep1.rl1.RNAseq.RNAseq,Atha.WT.Col.0.sl.RNAlat.Rep2.rl2.RNAseq.RNAseq,Atha.WT.Col.0.sl.RNAlat.Rep3.rl3.RNAseq.RNAseq
Sample.Id,Atha.WT.Col.0.sl.FLT.Rep1.G1S1,Atha.WT.Col.0.sl.FLT.Rep2.G1S2,Atha.WT.Col.0.sl.FLT.Rep3.G1S3,Atha.WT.Col.0.sl.GC.Rep1.G2S1,Atha.WT.Col.0.sl.GC.Rep2.G2S2,Atha.WT.Col.0.sl.GC.Rep3.G2S3,Atha.WT.Col.0.sl.LN2.Rep1.n2.1,Atha.WT.Col.0.sl.LN2.Rep2.n2.2,Atha.WT.Col.0.sl.LN2.Rep3.n2.3,Atha.WT.Col.0.sl.RNAlat.Rep1.rl1,Atha.WT.Col.0.sl.RNAlat.Rep2.rl2,Atha.WT.Col.0.sl.RNAlat.Rep3.rl3
Sample.Name,Atha_WT-Col-0_sl_FLT_Rep1_G1S1,Atha_WT-Col-0_sl_FLT_Rep2_G1S2,Atha_WT-Col-0_sl_FLT_Rep3_G1S3,Atha_WT-Col-0_sl_GC_Rep1_G2S1,Atha_WT-Col-0_sl_GC_Rep2_G2S2,Atha_WT-Col-0_sl_GC_Rep3_G2S3,Atha_WT-Col-0_sl_LN2_Rep1_n2-1,Atha_WT-Col-0_sl_LN2_Rep2_n2-2,Atha_WT-Col-0_sl_LN2_Rep3_n2-3,Atha_WT-Col-0_sl_RNAlat_Rep1_rl1,Atha_WT-Col-0_sl_RNAlat_Rep2_rl2,Atha_WT-Col-0_sl_RNAlat_Rep3_rl3
GLDS,38,38,38,38,38,38,38,38,38,38,38,38
Accession,GLDS-38,GLDS-38,GLDS-38,GLDS-38,GLDS-38,GLDS-38,GLDS-38,GLDS-38,GLDS-38,GLDS-38,GLDS-38,GLDS-38
Hardware,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC,BRIC
Tissue,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling,Etiolated seedling
Age,8 days,8 days,8 days,8 days,8 days,8 days,8 days,8 days,8 days,8 days,8 days,8 days
Organism,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana
Ecotype,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0,Col-0
