Sample.Name,Atha_Col.0_wo_act2.3_FLT_Rep1,Atha_Col.0_wo_act2.3_FLT_Rep2,Atha_Col.0_wo_act2.3_FLT_Rep3,Atha_Col.0_wo_act2.3_GC_Rep1,Atha_Col.0_wo_act2.3_GC_Rep2,Atha_Col.0_wo_act2.3_GC_Rep3,Atha_Col.0_wo_WT_FLT_Rep1,Atha_Col.0_wo_WT_FLT_Rep2,Atha_Col.0_wo_WT_FLT_Rep3,Atha_Col.0_wo_WT_GC_Rep1,Atha_Col.0_wo_WT_GC_Rep2,Atha_Col.0_wo_WT_GC_Rep3
AT1G01010,9.242758199,8.89439439,9.031928714,8.755605254,8.901148897,8.911849353,9.267965075,9.351726178,8.941487313,8.90072297,8.478518232,8.746662939
AT1G01040,6.134514744,6.138587681,6.15546633,6.597574411,6.635147929,6.605344356,6.052296956,6.19348388,5.969275024,6.726627266,6.607115093,6.720789463
AT1G01050,9.171340596,9.165024263,8.947293098,9.07818982,8.906737673,8.966983535,9.089499442,9.001890516,9.234680495,8.946485525,8.975966074,9.054290139
AT1G01070,5.659621001,5.614448829,5.187462427,6.854081967,6.907783459,6.618532599,5.569997659,5.498523456,5.510668767,7.02542355,7.359607499,6.839074163
AT1G01080,5.642103606,5.590536987,5.781322457,5.374966556,4.835898065,5.472149648,5.576969668,5.030682332,5.774852046,5.12625631,4.93909971,5.270495677
AT1G01090,9.478616818,9.29798436,9.131383377,9.530525964,9.642800095,9.511014867,9.388250807,9.282621185,9.38737144,9.445588072,9.48100426,9.504463366
AT1G01100,12.14066031,12.21051585,12.14054615,11.96669813,12.0868324,12.0161529,12.07283853,12.06683733,12.16517741,11.97115786,12.20359756,12.00558675
AT1G01110,4.556805485,4.325095223,4.216014244,4.122424971,4.115664442,3.891643577,4.11891959,4.104551859,4.349270026,3.66452612,4.041791672,3.914686142
AT1G01120,7.770214634,7.68403472,7.1074704,7.761656774,7.913217048,7.33342568,7.611767034,7.186801363,7.227905573,7.46082251,7.47291908,7.615133349
AT1G01140,8.278994832,8.17145295,8.100908098,7.688200122,7.689558756,7.504957553,8.430672771,8.021855953,8.283421258,7.735978724,7.186766208,7.354436252
AT1G01160,8.657613363,8.437396934,8.77856147,8.446400647,8.579420165,8.793331055,8.611027239,8.910865721,8.829963142,8.716014205,8.496191768,8.327234539
AT1G01170,10.24733094,10.33556626,10.35701037,9.608824619,9.623551928,9.957570551,10.05053654,10.35742912,10.19427915,9.658812701,9.744019206,9.612796424
