X,Atha.Ws.sl.ATM1.HZE.1.5h.postIR.5do.Rep1.Array,Atha.Ws.sl.ATM1.HZE.1.5h.postIR.5do.Rep2.Array,Atha.Ws.sl.ATM1.HZE.12h.postIR.5do.Rep1.Array,Atha.Ws.sl.ATM1.HZE.12h.postIR.5do.Rep2.Array,Atha.Ws.sl.ATM1.HZE.24h.postIR.6do.Rep1.Array,Atha.Ws.sl.ATM1.HZE.24h.postIR.6do.Rep2.Array,Atha.Ws.sl.ATM1.HZE.6h.postIR.5do.Rep1.Array,Atha.Ws.sl.ATM1.HZE.6h.postIR.5do.Rep2.Array,Atha.Ws.sl.ATM1.noIR.CTRL.5do.Rep1.Array,Atha.Ws.sl.ATM1.noIR.CTRL.5do.Rep2.Array,Atha.Ws.sl.ATM1.noIR.CTRL.6do.Rep1.Array,Atha.Ws.sl.ATM1.noIR.CTRL.6do.Rep2.Array,Atha.Ws.sl.ATM1.YR.1.5h.postIR.5do.Rep1.Array,Atha.Ws.sl.ATM1.YR.1.5h.postIR.5do.Rep2.Array,Atha.Ws.sl.ATM1.YR.12h.postIR.5do.Rep1.Array,Atha.Ws.sl.ATM1.YR.12h.postIR.5do.Rep2.Array,Atha.Ws.sl.ATM1.YR.24h.postIR.6do.Rep1.Array,Atha.Ws.sl.ATM1.YR.24h.postIR.6do.Rep2.Array,Atha.Ws.sl.ATM1.YR.6h.postIR.5do.Rep1.Array,Atha.Ws.sl.ATM1.YR.6h.postIR.5do.Rep2.Array,Atha.Ws.sl.WT.HZE.1.5h.postIR.5do.Rep1.Array,Atha.Ws.sl.WT.HZE.1.5h.postIR.5do.Rep2.Array,Atha.Ws.sl.WT.HZE.12h.postIR.5do.Rep1.Array,Atha.Ws.sl.WT.HZE.12h.postIR.5do.Rep2.Array,Atha.Ws.sl.WT.HZE.24h.postIR.6do.Rep1.Array,Atha.Ws.sl.WT.HZE.24h.postIR.6do.Rep2.Array,Atha.Ws.sl.WT.HZE.3h.postIR.5do.Rep1.Array,Atha.Ws.sl.WT.HZE.3h.postIR.5do.Rep2.Array,Atha.Ws.sl.WT.HZE.6h.postIR.5do.Rep1.Array,Atha.Ws.sl.WT.HZE.6h.postIR.5do.Rep2.Array,Atha.Ws.sl.WT.noIR.CTRL.5do.Rep1.Array,Atha.Ws.sl.WT.noIR.CTRL.5do.Rep2.Array,Atha.Ws.sl.WT.noIR.CTRL.6do.Rep1.Array,Atha.Ws.sl.WT.noIR.CTRL.6do.Rep2.Array,Atha.Ws.sl.WT.YR.1.5h.postIR.5do.Rep1.Array,Atha.Ws.sl.WT.YR.1.5h.postIR.5do.Rep2.Array,Atha.Ws.sl.WT.YR.12h.postIR.5do.Rep1.Array,Atha.Ws.sl.WT.YR.12h.postIR.5do.Rep2.Array,Atha.Ws.sl.WT.YR.24h.postIR.6do.Rep1.Array,Atha.Ws.sl.WT.YR.24h.postIR.6do.Rep2.Array,Atha.Ws.sl.WT.YR.3h.postIR.5do.Rep1.Array,Atha.Ws.sl.WT.YR.3h.postIR.5do.Rep2.Array,Atha.Ws.sl.WT.YR.6h.postIR.5do.Rep1.Array,Atha.Ws.sl.WT.YR.6h.postIR.5do.Rep2.Array
X,Atha.Ws.sl.ATM1.HZE.1.5h.postIR.5do_Rep1,Atha.Ws.sl.ATM1.HZE.1.5h.postIR.5do_Rep2,Atha.Ws.sl.ATM1.HZE.12h.postIR.5do_Rep1,Atha.Ws.sl.ATM1.HZE.12h.postIR.5do_Rep2,Atha.Ws.sl.ATM1.HZE.24h.postIR.6do_Rep1,Atha.Ws.sl.ATM1.HZE.24h.postIR.6do_Rep2,Atha.Ws.sl.ATM1.HZE.6h.postIR.5do_Rep1,Atha.Ws.sl.ATM1.HZE.6h.postIR.5do_Rep2,Atha.Ws.sl.ATM1.noIR.CTRL.5do_Rep1,Atha.Ws.sl.ATM1.noIR.CTRL.5do_Rep2,Atha.Ws.sl.ATM1.noIR.CTRL.6do_Rep1,Atha.Ws.sl.ATM1.noIR.CTRL.6do_Rep2,Atha.Ws.sl.ATM1.YR.1.5h.postIR.5do_Rep1,Atha.Ws.sl.ATM1.YR.1.5h.postIR.5do_Rep2,Atha.Ws.sl.ATM1.YR.12h.postIR.5do_Rep1,Atha.Ws.sl.ATM1.YR.12h.postIR.5do_Rep2,Atha.Ws.sl.ATM1.YR.24h.postIR.6do_Rep1,Atha.Ws.sl.ATM1.YR.24h.postIR.6do_Rep2,Atha.Ws.sl.ATM1.YR.6h.postIR.5do_Rep1,Atha.Ws.sl.ATM1.YR.6h.postIR.5do_Rep2,Atha.Ws.sl.WT.HZE.1.5h.postIR.5do_Rep1,Atha.Ws.sl.WT.HZE.1.5h.postIR.5do_Rep2,Atha.Ws.sl.WT.HZE.12h.postIR.5do_Rep1,Atha.Ws.sl.WT.HZE.12h.postIR.5do_Rep2,Atha.Ws.sl.WT.HZE.24h.postIR.6do_Rep1,Atha.Ws.sl.WT.HZE.24h.postIR.6do_Rep2,Atha.Ws.sl.WT.HZE.3h.postIR.5do_Rep1,Atha.Ws.sl.WT.HZE.3h.postIR.5do_Rep2,Atha.Ws.sl.WT.HZE.6h.postIR.5do_Rep1,Atha.Ws.sl.WT.HZE.6h.postIR.5do_Rep2,Atha.Ws.sl.WT.noIR.CTRL.5do_Rep1,Atha.Ws.sl.WT.noIR.CTRL.5do_Rep2,Atha.Ws.sl.WT.noIR.CTRL.6do_Rep1,Atha.Ws.sl.WT.noIR.CTRL.6do_Rep2,Atha.Ws.sl.WT.YR.1.5h.postIR.5do_Rep1,Atha.Ws.sl.WT.YR.1.5h.postIR.5do_Rep2,Atha.Ws.sl.WT.YR.12h.postIR.5do_Rep1,Atha.Ws.sl.WT.YR.12h.postIR.5do_Rep2,Atha.Ws.sl.WT.YR.24h.postIR.6do_Rep1,Atha.Ws.sl.WT.YR.24h.postIR.6do_Rep2,Atha.Ws.sl.WT.YR.3h.postIR.5do_Rep1,Atha.Ws.sl.WT.YR.3h.postIR.5do_Rep2,Atha.Ws.sl.WT.YR.6h.postIR.5do_Rep1,Atha.Ws.sl.WT.YR.6h.postIR.5do_Rep2
Sample.Name,Atha_Ws_sl_ATM1_HZE_1.5h-postIR_5do_Rep1,Atha_Ws_sl_ATM1_HZE_1.5h-postIR_5do_Rep2,Atha_Ws_sl_ATM1_HZE_12h-postIR_5do_Rep1,Atha_Ws_sl_ATM1_HZE_12h-postIR_5do_Rep2,Atha_Ws_sl_ATM1_HZE_24h-postIR_6do_Rep1,Atha_Ws_sl_ATM1_HZE_24h-postIR_6do_Rep2,Atha_Ws_sl_ATM1_HZE_6h-postIR_5do_Rep1,Atha_Ws_sl_ATM1_HZE_6h-postIR_5do_Rep2,Atha_Ws_sl_ATM1_noIR_CTRL_5do_Rep1,Atha_Ws_sl_ATM1_noIR_CTRL_5do_Rep2,Atha_Ws_sl_ATM1_noIR_CTRL_6do_Rep1,Atha_Ws_sl_ATM1_noIR_CTRL_6do_Rep2,Atha_Ws_sl_ATM1_YR_1.5h-postIR_5do_Rep1,Atha_Ws_sl_ATM1_YR_1.5h-postIR_5do_Rep2,Atha_Ws_sl_ATM1_YR_12h-postIR_5do_Rep1,Atha_Ws_sl_ATM1_YR_12h-postIR_5do_Rep2,Atha_Ws_sl_ATM1_YR_24h-postIR_6do_Rep1,Atha_Ws_sl_ATM1_YR_24h-postIR_6do_Rep2,Atha_Ws_sl_ATM1_YR_6h-postIR_5do_Rep1,Atha_Ws_sl_ATM1_YR_6h-postIR_5do_Rep2,Atha_Ws_sl_WT_HZE_1.5h-postIR_5do_Rep1,Atha_Ws_sl_WT_HZE_1.5h-postIR_5do_Rep2,Atha_Ws_sl_WT_HZE_12h-postIR_5do_Rep1,Atha_Ws_sl_WT_HZE_12h-postIR_5do_Rep2,Atha_Ws_sl_WT_HZE_24h-postIR_6do_Rep1,Atha_Ws_sl_WT_HZE_24h-postIR_6do_Rep2,Atha_Ws_sl_WT_HZE_3h-postIR_5do_Rep1,Atha_Ws_sl_WT_HZE_3h-postIR_5do_Rep2,Atha_Ws_sl_WT_HZE_6h-postIR_5do_Rep1,Atha_Ws_sl_WT_HZE_6h-postIR_5do_Rep2,Atha_Ws_sl_WT_noIR_CTRL_5do_Rep1,Atha_Ws_sl_WT_noIR_CTRL_5do_Rep2,Atha_Ws_sl_WT_noIR_CTRL_6do_Rep1,Atha_Ws_sl_WT_noIR_CTRL_6do_Rep2,Atha_Ws_sl_WT_YR_1.5h-postIR_5do_Rep1,Atha_Ws_sl_WT_YR_1.5h-postIR_5do_Rep2,Atha_Ws_sl_WT_YR_12h-postIR_5do_Rep1,Atha_Ws_sl_WT_YR_12h-postIR_5do_Rep2,Atha_Ws_sl_WT_YR_24h-postIR_6do_Rep1,Atha_Ws_sl_WT_YR_24h-postIR_6do_Rep2,Atha_Ws_sl_WT_YR_3h-postIR_5do_Rep1,Atha_Ws_sl_WT_YR_3h-postIR_5do_Rep2,Atha_Ws_sl_WT_YR_6h-postIR_5do_Rep1,Atha_Ws_sl_WT_YR_6h-postIR_5do_Rep2
GLDS,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
Accession,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46,GLDS-46
Hardware,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish,Petri dish
Tissue,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings,Seedlings
Age,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days,5 days
Organism,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis thaliana
Ecotype,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0,WS-0
