"ensembl_gene_id","band","chromosome_name","start_position","percentage_gc_content","transcript_count","gene_biotype","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons","symbol"
"AT3G11415",NA,"3",3588684,33.33,1,"ncRNA",1001,"","","","","",""
"AT1G31258",NA,"1",11171225,34.86,1,"ncRNA",610,"","","","","",""
"AT5G24735",NA,"5",8468331,36.91,1,"ncRNA",931,"","","","","",""
"AT2G45780",NA,"2",18854555,38.1,1,"ncRNA",629,"","","","","",""
"AT2G42425",NA,"2",17661834,36,1,"ncRNA",524,"","","","","",""
"AT4G01533",NA,"4",667148,37.44,1,"ncRNA",1925,"","","","","",""
"AT4G09195",NA,"4",16880340,39.2,1,"ncRNA",198,"","","","","",""
"AT1G79075",NA,"1",29745939,33.85,2,"ncRNA",903,"","","","","",""
"AT5G10278",NA,"5",3226321,33.59,2,"ncRNA",6402,"","","","","",""
"AT1G67238",NA,"1",25158115,30.88,1,"ncRNA",339,"","","","","",""
"AT4G36648",NA,"4",17280528,37.72,1,"ncRNA",2202,"","","","","",""
"AT4G03605",NA,"4",178519,35.18,1,"ncRNA",198,"","","","","",""
"AT2G15128",NA,"2",6564104,38.97,1,"ncRNA",212,"","","","","",""
"AT3G02832",NA,"3",616380,35.63,1,"ncRNA",942,"","","","","",""
"AT3G48115",NA,"3",17771170,43.03,2,"ncRNA",1756,"","","","","",""
"AT1G07977",NA,"1",20412149,42.98,1,"ncRNA",348,"","","","","",""
"AT1G18745",NA,"1",6465487,33.68,1,"ncRNA",967,"","","","","",""
"AT5G40275",NA,"5",16098190,36.09,1,"ncRNA",1861,"","","","","",""
"AT4G09405",NA,"4",17393758,43.22,1,"ncRNA",198,"","","","","",""
"AT5G02975",NA,"5",6397787,43.22,1,"ncRNA",198,"","","","","",""
"AT5G24206",NA,"5",8213626,34.3,1,"ncRNA",1063,"","","","","",""
"AT5G23155",NA,"5",7792732,35.12,2,"ncRNA",2220,"","","","","",""
"AT3G45638",NA,"3",16755215,38.29,2,"ncRNA",1075,"","","","","",""
"AT5G24205",NA,"5",8210822,32.89,1,"ncRNA",2264,"","","","","",""
"AT5G03285",NA,"5",793514,50.98,1,"ncRNA",203,"","","","","",""
"AT3G00980",NA,"3",104968,35.53,1,"ncRNA",303,"","","","","",""
"AT3G25795",NA,"3",9417551,28.23,1,"ncRNA",1154,"","","","","",""
"AT2G42485",NA,"2",17690531,42.21,1,"ncRNA",487,"","","","","",""
"AT3G52748",NA,"3",19548972,33.98,1,"ncRNA",617,"","","","","",""
"AT3G52742",NA,"3",19547358,30.83,1,"ncRNA",1653,"","","","","",""
"AT3G60176",NA,"3",22240155,49.01,1,"ncRNA",1009,"","","","","",""
"AT1G32172",NA,"1",11578506,42.56,1,"ncRNA",2041,"","","","","",""
"AT1G26558",NA,"1",9175611,36.82,2,"ncRNA",1987,"","","","","",""
"AT4G16892",NA,"4",9506322,40.13,1,"ncRNA",2015,"","","","","",""
"AT2G10537",NA,"2",4083603,42.12,1,"ncRNA",310,"","","","","",""
"AT1G78865",NA,"1",29647738,30.85,1,"ncRNA",2213,"","","","","",""
"AT2G09215",NA,"2",17130013,42.94,1,"ncRNA",346,"","","","","",""
"AT1G10682",NA,"1",3544913,33.33,1,"ncRNA",701,"","","","","",""
"AT2G19796",NA,"2",8529916,38.24,1,"ncRNA",271,"","","","","",""
"AT1G04425",NA,"1",1194187,30.82,1,"ncRNA",2702,"","","","","",""
"AT1G15405",NA,"1",5297875,58.56,1,"ncRNA",291,"","","","","",""
"AT2G45245",NA,"2",18659235,36.6,4,"ncRNA",2059,"","","","","",""
"AT1G06677",NA,"1",12184200,41.71,1,"ncRNA",198,"","","","","",""
"AT2G45023",NA,"2",18570156,38.06,2,"ncRNA",2017,"","","","","",""
"AT1G14518",NA,"1",4966810,33.77,1,"ncRNA",683,"","","","","",""
"AT5G05785",NA,"5",15515303,37.83,1,"ncRNA",496,"","","","","",""
"AT1G19968",NA,"1",6930261,37.52,1,"ncRNA",724,"","","","","",""
"AT2G36307",NA,"2",15218040,32.85,1,"ncRNA",1375,"","","","","",""
"AT1G24068",NA,"1",8515506,37.55,1,"ncRNA",465,"","","","","",""
"AT3G44798",NA,"3",16342295,36.81,1,"ncRNA",719,"","","","","",""
"AT5G06095",NA,"5",16394060,41.21,1,"ncRNA",198,"","","","","",""
"AT1G08933",NA,"1",25219756,40.7,1,"ncRNA",198,"","","","","",""
